"lacode","region","positive","number_samples","round","prevalence","lower","upper"
"E07000037","East Midlands",0,410,"round 1",0,0,0.00655562663746082
"E07000038","East Midlands",0,388,"round 1",0,0,0.00692476341691141
"E07000039","East Midlands",2,459,"round 1",0.00435729847494553,0.0011957428195847,0.0157462546425137
"E07000040","South West",0,358,"round 1",0,0,0.00750069829309326
"E07000041","South West",1,362,"round 1",0.00276243093922652,0.000487803441899075,0.0154793831080461
"E07000042","South West",0,350,"round 1",0,0,0.00767082770403788
"E07000043","South West",0,328,"round 1",0,0,0.00818112519626077
"E07000044","South West",1,373,"round 1",0.00268096514745308,0.000473413047586227,0.0150276914194612
"E07000045","South West",0,346,"round 1",0,0,0.0077588197402763
"E07000046","South West",0,336,"round 1",0,0,0.00798789245225947
"E07000047","South West",0,344,"round 1",0,0,0.00780357714255478
"E07000061","South East",0,374,"round 1",0,0,0.0071821174418823
"E07000062","South East",0,401,"round 1",0,0,0.00670177434510025
"E07000063","South East",0,392,"round 1",0,0,0.00685458691666454
"E07000064","South East",1,353,"round 1",0.0028328611898017,0.00050024471452442,0.0158696547921059
"E07000065","South East",1,369,"round 1",0.002710027100271,0.000478546616412202,0.0151888602196483
"E07000066","East of England",0,381,"round 1",0,0,0.00705109295461375
"E07000067","East of England",1,424,"round 1",0.00235849056603774,0.000416452888208613,0.013236872894654
"E07000068","East of England",0,400,"round 1",0,0,0.00671841621768938
"E07000069","East of England",1,448,"round 1",0.00223214285714286,0.000394136753906922,0.0125339793068466
"E07000070","East of England",0,407,"round 1",0,0,0.00660362911198576
"E07000071","East of England",0,331,"round 1",0,0,0.00810757719542524
"E07000072","East of England",1,400,"round 1",0.0025,0.000441447786801635,0.0140232850758234
"E07000073","East of England",0,378,"round 1",0,0,0.00710665631382286
"E07000074","East of England",0,383,"round 1",0,0,0.00701453090320287
"E07000075","East of England",0,450,"round 1",0,0,0.00597638684397898
"E07000076","East of England",1,347,"round 1",0.00288184438040346,0.000508897562236089,0.0161409557371128
"E07000077","East of England",0,464,"round 1",0,0,0.00579711017373318
"E07000078","South West",1,423,"round 1",0.00236406619385343,0.000417437698227983,0.0132678749629022
"E07000079","South West",0,421,"round 1",0,0,0.00638543322336431
"E07000080","South West",0,377,"round 1",0,0,0.00712537254390256
"E07000081","South West",0,367,"round 1",0,0,0.00731810356106101
"E07000082","South West",0,389,"round 1",0,0,0.00690708492465458
"E07000083","South West",0,425,"round 1",0,0,0.0063257151923863
"E07000084","South East",0,466,"round 1",0,0,0.00577237349094931
"E07000085","South East",2,441,"round 1",0.00453514739229025,0.00124458329825099,0.0163829526816066
"E07000086","South East",0,395,"round 1",0,0,0.00680288092189415
"E07000087","South East",2,384,"round 1",0.00520833333333333,0.00142947679439981,0.0187887300072597
"E07000088","South East",0,380,"round 1",0,0,0.00706951728390612
"E07000089","South East",1,447,"round 1",0.00223713646532438,0.000395018735535357,0.01256177285141
"E0700009","South East",0,1,"round 1",0,0,0.730134051215946
"E07000090","South East",0,382,"round 1",0,0,0.00703276440938067
"E07000091","South East",0,385,"round 1",0,0,0.0069783460664285
"E07000092","South East",0,411,"round 1",0,0,0.0065397805199959
"E07000093","South East",0,406,"round 1",0,0,0.00661978653685496
"E07000094","South East",0,373,"round 1",0,0,0.00720123378862516
"E07000095","East of England",0,401,"round 1",0,0,0.00670177434510025
"E07000096","East of England",0,438,"round 1",0,0,0.0061391182713299
"E07000098","East of England",0,452,"round 1",0,0,0.00595009999997624
"E07000099","East of England",0,451,"round 1",0,0,0.00596321445292006
"E07000102","East of England",0,424,"round 1",0,0,0.00634053973659349
"E07000103","East of England",0,317,"round 1",0,0,0.0084626103910015
"E07000105","South East",0,371,"round 1",0,0,0.0072397734031145
"E07000106","South East",1,364,"round 1",0.00274725274725275,0.000485122292498115,0.0153952486679204
"E07000107","South East",0,370,"round 1",0,0,0.00725919831785019
"E07000108","South East",2,380,"round 1",0.00526315789473684,0.00144453632069963,0.018984363790263
"E07000109","South East",0,362,"round 1",0,0,0.00741843249343412
"E07000110","South East",1,417,"round 1",0.00239808153477218,0.000423445777266973,0.0134569804456232
"E07000111","South East",1,421,"round 1",0.00237529691211401,0.000419421357687879,0.0133303168079546
"E07000112","South East",1,372,"round 1",0.00268817204301075,0.000474686086413327,0.0150676621128069
"E07000113","South East",1,398,"round 1",0.00251256281407035,0.000443666806692357,0.0140930582933941
"E07000114","South East",0,365,"round 1",0,0,0.00735790771246062
"E07000115","South East",2,435,"round 1",0.00459770114942529,0.001261762320492,0.0166067837411463
"E07000116","South East",1,462,"round 1",0.00216450216450216,0.000382190019182097,0.0121573955202461
"E07000117","North West",1,367,"round 1",0.00272479564032698,0.000481155378749897,0.0152707479798186
"E07000118","North West",0,460,"round 1",0,0,0.00584722507082698
"E07000119","North West",0,397,"round 1",0,0,0.00676884145942832
"E07000120","North West",0,373,"round 1",0,0,0.00720123378862516
