lacode,round,swab,issued
E07000035,round 3,602,1716
E07000036,round 3,542,1917
E07000037,round 3,528,1798
E07000038,round 3,501,1883
E07000039,round 3,535,1778
E07000129,round 3,494,1869
E07000130,round 3,535,2051
E07000131,round 3,543,1655
E07000132,round 3,505,1734
E07000133,round 3,559,1776
E07000134,round 3,523,1797
E07000135,round 3,371,2272
E07000136,round 3,504,2753
E07000137,round 3,555,2083
E07000138,round 3,503,2547
E07000139,round 3,557,1750
E07000140,round 3,572,2173
E07000141,round 3,604,1858
E07000142,round 3,534,1840
E07000150,round 3,419,2473
E07000151,round 3,593,1775
E07000152,round 3,557,1898
E07000153,round 3,506,2085
E07000154,round 3,536,2561
E07000155,round 3,578,1717
E07000156,round 3,515,2351
E07000170,round 3,475,2089
E07000171,round 3,524,2057
E07000172,round 3,554,2060
E07000173,round 3,519,1918
E07000174,round 3,546,2288
E07000175,round 3,546,2036
E07000176,round 3,586,1735
E06000031,round 3,504,2871
E06000032,round 3,501,3676
E06000033,round 3,478,2148
E06000034,round 3,476,2440
E06000055,round 3,563,2318
E06000056,round 3,548,1781
E07000008,round 3,542,2846
E07000009,round 3,555,1930
E07000010,round 3,570,2251
E07000011,round 3,599,1863
E07000012,round 3,572,1738
E07000066,round 3,509,2178
E07000067,round 3,487,1779
E07000068,round 3,533,1858
E07000069,round 3,517,1930
E07000070,round 3,545,1810
E07000071,round 3,537,2201
E07000072,round 3,466,2001
E07000073,round 3,486,2526
E07000074,round 3,567,1712
E07000075,round 3,525,1773
E07000076,round 3,531,2083
E07000077,round 3,530,1649
E07000095,round 3,466,2217
E07000096,round 3,499,1807
E07000098,round 3,479,2102
E07000099,round 3,545,1788
E07000102,round 3,470,1908
E07000103,round 3,435,2427
E07000143,round 3,536,2012
E07000144,round 3,590,1750
E07000145,round 3,512,2461
E07000146,round 3,535,2059
E07000147,round 3,545,1947
E07000148,round 3,490,2583
E07000149,round 3,639,1884
E07000200,round 3,569,1725
E07000202,round 3,544,2460
E07000203,round 3,577,1745
E07000240,round 3,519,1748
E07000241,round 3,490,2200
E07000242,round 3,522,1696
E07000243,round 3,502,2259
E07000244,round 3,544,1871
E07000245,round 3,543,1965
E09000002,round 3,425,4195
E09000003,round 3,502,2822
E09000004,round 3,545,2350
E09000005,round 3,453,4545
E09000006,round 3,506,1963
E09000007,round 3,464,3672
E09000008,round 3,507,3154
E09000009,round 3,534,3772
E09000010,round 3,488,3532
E09000011,round 3,457,2927
E09000012,round 3,438,3751
E09000013,round 3,393,3757
E09000014,round 3,520,3603
E09000015,round 3,514,3128
E09000016,round 3,445,2276
E09000017,round 3,467,2897
E09000018,round 3,479,3697
E09000019,round 3,475,3245
E09000020,round 3,425,4545
E09000021,round 3,520,2472
E09000022,round 3,482,3625
E09000023,round 3,489,3167
E09000024,round 3,441,2907
E09000025,round 3,385,4545
E09000026,round 3,474,3493
E09000027,round 3,495,2020
E09000028,round 3,467,3641
E09000029,round 3,486,2267
E09000030,round 3,458,4408
