LTLA name,Total sampled in LTLA,N. vaccinated,N. antibody positive,Weighted and adjusted antibody prevalence,Weighted and adjusted antibody prevalence LCI,Weighted and adjusted antibody prevalence UCI,Weighted vaccination prevalence,Weighted vaccination prevalence LCI,Weighted vaccination prevalence UCI
Lewisham,230,209,172,96.7,84,100,97.3,90.5,99.2
Islington,209,193,152,96.5,81.6,100,98.2,90.7,99.7
Hertsmere,225,205,160,96.39999999999999,79.5,100,97.8,88.4,99.6
Maidstone,250,232,193,96.39999999999999,84.89999999999999,100,97.7,92,99.4
Broxtowe,240,232,186,96.2,82.69999999999999,100,100,96,100
Chorley,287,275,220,96.2,82.69999999999999,100,100,95.89999999999999,100
South Staffordshire,235,223,174,96.1,83.1,100,100,96.39999999999999,100
York,276,267,216,96.1,85.6,100,100,97.39999999999999,100
Chichester,264,243,192,95.89999999999999,83.89999999999999,100,98.8,93.4,99.8
Forest of Dean,274,262,208,95.89999999999999,81.6,100,100,95.7,100
Copeland,215,203,162,95.8,78.7,100,97.7,88.2,99.6
Isle of Wight,304,291,234,95.8,85.5,100,99.1,95,99.8
"Kingston upon Hull, City of",213,199,154,95.7,85,100,100,97.5,100
Stroud,258,250,197,95.7,83.1,100,98.7,92.9,99.8
Charnwood,263,251,197,95.6,83.8,100,100,96.89999999999999,100
Watford,195,183,145,95.5,75.1,100,100,92,100
West Oxfordshire,251,236,185,95.5,81.6,100,98.4,91.7,99.7
Slough,186,171,133,95.39999999999999,76.6,100,100,93.2,100
Staffordshire Moorlands,241,231,181,95.39999999999999,82.1,100,100,96.2,100
Craven,257,244,194,95.3,77.8,100,100,93.8,100
Gravesham,215,204,158,95.3,77.8,100,100,94.1,100
Wandsworth,213,196,153,95.3,83,100,98.8,93.30000000000001,99.8
Hart,256,246,189,95.19999999999999,79.7,100,100,95.19999999999999,100
Tandridge,230,217,170,95.19999999999999,78.8,100,100,94.69999999999999,100
Tower Hamlets,139,128,99,95.19999999999999,78.8,100,98,89.5,99.6
Malvern Hills,293,270,214,95.1,80.4,100,100,95.5,100
Reigate and Banstead,228,215,167,95.1,81.6,100,98.6,92.2,99.7
West Lancashire,274,254,196,95.1,81.6,100,98.6,92.2,99.7
Croydon,250,236,182,94.69999999999999,85,100,97.7,93.30000000000001,99.2
Spelthorne,233,218,170,94.69999999999999,78,100,100,94.6,100
Stockport,262,246,190,94.69999999999999,85.6,100,98.6,95,99.6
Trafford,231,214,170,94.69999999999999,84.3,100,99.1,94.8,99.8
West Suffolk,248,228,180,94.69999999999999,83.7,100,99,94.39999999999999,99.8
Westminster,243,222,174,94.69999999999999,82.19999999999999,100,98.7,93,99.8
South Gloucestershire,236,225,175,94.5,85.39999999999999,100,98.6,94.89999999999999,99.6
Bath and North East Somerset,247,237,184,94.39999999999999,83,100,98.9,94.19999999999999,99.8
East Hampshire,254,246,189,94.39999999999999,81.69999999999999,100,100,96.6,100
Telford and Wrekin,249,238,191,94.39999999999999,82.19999999999999,100,100,96.8,100
Warwick,263,249,191,94.3,80.60000000000001,100,100,96.1,100
Daventry,243,233,181,94.19999999999999,78.3,100,100,94.89999999999999,100
Nottingham,193,177,140,94.19999999999999,82.6,100,98.9,94,99.8
"Bournemouth, Christchurch and Poole",257,239,186,94.1,86.9,100,99.1,96.7,99.7
Brentwood,228,216,169,94.1,76,100,97.6,87.4,99.6
Cheshire East,245,234,183,94,87.2,99.6,98.8,96.39999999999999,99.6
Harrow,251,236,185,94,83,100,99,94.6,99.8
Melton,238,228,182,94,74.5,100,100,92.60000000000001,100
Wyre Forest,264,253,198,94,80.7,100,100,96.2,100
Bury,252,239,186,93.89999999999999,82.6,100,100,97.2,100
Eastbourne,286,269,207,93.89999999999999,79.3,100,98.4,91.4,99.7
South Kesteven,277,267,211,93.89999999999999,82.6,100,100,97.2,100
South Northamptonshire,244,231,181,93.89999999999999,79.3,100,100,95.5,100
Wealden,247,234,182,93.8,83.3,100,99.1,94.89999999999999,99.8
Bracknell Forest,212,202,149,93.7,77.5,100,100,95,100
Derby,261,247,193,93.60000000000001,82.3,100,99,94.3,99.8
Cambridge,237,230,178,93.4,75,100,100,93.5,100
Ealing,225,209,165,93.4,83,100,98.2,93.8,99.5
Amber Valley,246,232,181,93.2,80.9,100,98.8,93.4,99.8
Hillingdon,219,206,158,93.2,81.89999999999999,100,99,94.5,99.8
Bolton,244,228,175,93.10000000000001,83.1,100,100,97.8,100
Cotswold,259,242,189,93.10000000000001,78.9,100,100,95.8,100
Oadby and Wigston,240,229,168,93,71.2,100,100,91.7,100
South Cambridgeshire,279,269,210,93,81,100,98.8,93.60000000000001,99.8
Windsor and Maidenhead,238,224,171,93,79.80000000000001,100,98.6,92.60000000000001,99.8
King's Lynn and West Norfolk,278,267,204,92.80000000000001,82,100,99.1,94.8,99.8
Boston,243,228,179,92.7,74,100,97.39999999999999,86.5,99.5
Erewash,253,243,186,92.7,78.3,100,98.4,91.7,99.7
Runnymede,266,252,194,92.7,74,100,100,93.4,100
Maldon,259,244,185,92.60000000000001,75.9,100,100,94.6,100
East Suffolk,273,260,201,92.5,84.39999999999999,99.1,99.4,96.89999999999999,99.9
Walsall,214,202,163,92.5,82.5,100,96.7,91.7,98.7
Dorset,259,246,185,92.4,86,97.89999999999999,99.3,97.5,99.8
East Hertfordshire,257,242,185,92.4,79.4,100,100,96.5,100
Harlow,217,202,155,92.4,72.1,100,100,92.4,100
Newham,190,168,131,92.4,78.5,100,95.6,87.8,98.5
North Hertfordshire,248,235,181,92.4,78.5,100,98.5,91.9,99.7
Blackburn with Darwen,235,217,172,92.30000000000001,76.3,100,100,95,100
South Somerset,303,280,213,92.30000000000001,81.8,100,99.1,95.19999999999999,99.8
Three Rivers,261,248,189,92.30000000000001,74.6,100,100,93.89999999999999,100
Calderdale,269,251,190,92.2,81.39999999999999,100,99.1,95,99.8
Dacorum,251,239,182,92.2,78.7,100,100,96.3,100
Knowsley,190,172,134,92.2,78.7,100,98.6,92.2,99.7
Lancaster,268,257,198,92,78.9,100,100,96.5,100
Redbridge,258,240,187,92,80.4,100,98.9,94,99.8
Solihull,245,232,178,91.9,81.6,100,99.1,95.19999999999999,99.8
Bradford,273,257,195,91.7,84.1,98.1,98.5,95.7,99.5
East Cambridgeshire,285,265,202,91.7,75.6,100,100,94.89999999999999,100
Oxford,265,247,183,91.7,73.6,100,100,93.89999999999999,100
Carlisle,257,246,188,91.60000000000001,77.3,100,100,95.89999999999999,100
Basildon,239,227,169,91.5,79.5,100,100,97,100
Wirral,233,216,164,91.5,83.3,98.2,99.4,96.89999999999999,99.9
Cornwall,267,258,196,91.4,86.1,96.1,99.8,98.6,100
Horsham,268,256,198,91.4,79.60000000000001,100,98.9,94,99.8
North Somerset,246,237,173,91.4,81.89999999999999,99,99.3,96.1,99.9
Stratford-on-Avon,261,250,190,91.4,79.60000000000001,100,98.9,94,99.8
West Lindsey,275,266,200,91.4,77.60000000000001,100,100,96.2,100
Bassetlaw,231,218,170,91.3,77.9,100,100,96.3,100
Fylde,290,277,214,91.3,76.4,100,100,95.5,100
Luton,220,208,156,91.3,76.4,100,98.3,91.10000000000001,99.7
Newark and Sherwood,268,250,190,91.3,77.9,100,100,96.39999999999999,100
Warrington,261,252,195,91.3,80.5,99.7,100,97.5,100
Brighton and Hove,216,201,156,91.10000000000001,80.10000000000001,99.7,97.1,91.9,99
South Lakeland,279,257,195,91.10000000000001,78.10000000000001,100,98.7,93,99.8
Thurrock,216,202,152,91.10000000000001,76.7,100,100,95.8,100
Gloucester,250,238,180,91,75.3,100,100,95.19999999999999,100
Northumberland,273,253,186,91,83.5,97.39999999999999,99.5,97.39999999999999,99.9
Sevenoaks,249,233,174,90.9,77.4,100,98.6,92.4,99.8
Rotherham,230,217,166,90.8,81.10000000000001,98.5,98.5,94.6,99.6
Surrey Heath,236,220,164,90.8,73.3,100,100,94.19999999999999,100
West Berkshire,246,237,176,90.8,78.8,100,100,97,100
Great Yarmouth,238,219,163,90.7,76.1,100,98.4,91.4,99.7
Haringey,223,210,164,90.7,77.60000000000001,100,97.3,90.8,99.3
"Herefordshire, County of",284,268,207,90.7,80.7,98.7,98.4,94.19999999999999,99.5
Barnsley,213,203,159,90.5,81,98.2,99.3,95.89999999999999,99.9
Canterbury,262,248,189,90.4,78.4,99.8,98.9,93.8,99.8
Lichfield,257,249,186,90.4,76.8,100,100,96.3,100
Rushmoor,214,199,158,90.4,70.6,100,100,92.60000000000001,100
Havant,289,278,206,90.3,77.4,100,98.7,93.10000000000001,99.8
Tendring,255,237,178,90.3,79.80000000000001,98.7,99.1,95.19999999999999,99.8
Wyre,276,249,183,90.3,77.4,100,100,96.7,100
Mid Sussex,258,240,180,90.2,77.7,99.8,98.8,93.4,99.8
Buckinghamshire,991,930,700,90.10000000000001,83.39999999999999,95.8,99.2,97.3,99.8
North Tyneside,226,214,157,90.10000000000001,79.3,98.7,99.1,95.1,99.8
Somerset West and Taunton,276,263,201,90.10000000000001,79.3,98.7,98.1,93.4,99.5
Tonbridge and Malling,221,206,154,90.10000000000001,75.9,100,100,96,100
South Hams,263,253,192,90,76.2,100,100,96.2,100
Cannock Chase,222,209,157,89.9,73.7,100,100,95,100
Folkestone and Hythe,272,257,196,89.9,76.9,99.8,100,96.5,100
Huntingdonshire,296,282,212,89.9,78.8,98.7,100,97.39999999999999,100
Portsmouth,226,214,161,89.9,76.9,99.8,100,96.6,100
Wakefield,235,216,165,89.9,81.6,96.89999999999999,98.3,95.19999999999999,99.4
Bromsgrove,260,244,183,89.7,74.8,100,100,95.6,100
Colchester,263,250,190,89.7,77.9,98.9,98.9,94.1,99.8
North East Derbyshire,268,262,198,89.60000000000001,75.7,100,100,96.2,100
Hammersmith and Fulham,211,187,144,89.3,72.89999999999999,100,96,86.5,98.9
Derbyshire Dales,260,253,181,89.2,73.5,100,100,95.39999999999999,100
South Derbyshire,243,228,168,89.2,74.1,100,98.3,91,99.7
Halton,231,221,165,89.1,75.9,99.3,98.7,92.80000000000001,99.8
North Kesteven,287,269,199,89.1,75.9,99.3,98.7,92.9,99.8
Winchester,274,260,198,89.1,75.5,99.5,98.6,92.4,99.8
Breckland,277,258,186,88.7,77,98,99,94.3,99.8
Burnley,229,216,159,88.7,71.3,100,100,94.19999999999999,100
Guildford,243,233,174,88.7,74.4,99.5,100,96.1,100
Hyndburn,227,218,159,88.7,70.39999999999999,100,100,93.89999999999999,100
Norwich,271,258,196,88.7,72.1,100,98,89.5,99.6
Liverpool,213,198,146,88.5,80.4,95.39999999999999,100,98.6,100
Rother,314,301,221,88.3,75.2,98.5,98.7,93.2,99.8
Test Valley,232,226,164,88.3,75.2,98.5,98.7,93,99.8
Vale of White Horse,287,278,196,88.3,74.8,98.7,100,96.5,100
Wiltshire,259,248,181,88.3,81.8,93.89999999999999,100,99.1,100
Waverley,251,240,174,88.2,74.3,98.9,98.6,92.4,99.8
Worthing,263,253,183,88.2,73.3,99.5,100,95.8,100
Selby,246,230,168,88.1,72,100,100,95.1,100
Preston,216,204,151,88,71.2,100,98,89.5,99.6
Eden,262,252,184,87.9,69.3,100,100,93.7,100
North Warwickshire,239,231,169,87.9,69.3,100,100,93.7,100
Fareham,257,242,178,87.8,74.2,98.4,98.6,92.5,99.8
Hambleton,273,264,196,87.8,73.7,98.6,98.5,92.10000000000001,99.7
Havering,219,196,142,87.8,76.6,96.8,100,97.5,100
Birmingham,232,221,157,87.7,81.5,93.2,98.2,96.1,99.2
Manchester,218,204,153,87.7,77.8,95.89999999999999,98.5,94.6,99.6
Thanet,276,265,199,87.7,75.7,97.3,98.9,94,99.8
Chesterfield,273,257,186,87.6,72.6,99.1,100,95.7,100
Milton Keynes,279,265,193,87.6,76.7,96.39999999999999,99.1,95,99.8
Rutland,262,256,186,87.6,65,100,100,91.2,100
Harrogate,261,245,179,87.4,75.9,96.7,100,97.3,100
Oldham,240,223,171,87.4,75.6,96.89999999999999,98.9,94.19999999999999,99.8
Leicester,223,205,154,87.2,76.1,96.3,100,97.5,100
Sheffield,259,241,176,87.2,79.60000000000001,93.8,100,98.7,100
Wellingborough,232,216,161,87.2,69.3,100,97.7,87.9,99.6
Dartford,235,213,155,87.1,68.2,100,97.5,87.1,99.6
Dudley,245,238,171,87.1,78.2,94.69999999999999,100,98.4,100
Redcar and Cleveland,255,241,174,87.1,74,97.39999999999999,100,96.7,100
Sedgemoor,258,238,173,87.1,74,97.39999999999999,98.7,93.2,99.8
New Forest,297,286,202,87,77.2,95.3,99.3,95.89999999999999,99.9
Blackpool,227,214,154,86.7,73.5,97.1,98.7,93,99.8
Cherwell,242,233,169,86.6,72.89999999999999,97.3,100,96.39999999999999,100
East Devon,326,313,228,86.5,75.8,95.39999999999999,99.1,95.19999999999999,99.8
East Lindsey,281,262,188,86.5,75.8,95.39999999999999,100,97.7,100
West Devon,295,273,196,86.5,68.30000000000001,99.9,97.7,87.9,99.6
Doncaster,219,209,151,86.4,77.60000000000001,94,98.8,95.6,99.7
Mendip,267,248,170,86.4,72.39999999999999,97.39999999999999,98.6,92.5,99.8
"Bristol, City of",243,229,169,86.3,77.2,94,98.7,95.39999999999999,99.6
Hastings,219,201,141,86.2,69.39999999999999,98.8,98,89.7,99.7
Pendle,257,243,172,86.2,69.39999999999999,98.8,100,94.8,100
Southend-on-Sea,241,225,159,86.2,73.8,96.2,98.8,93.7,99.8
Hinckley and Bosworth,281,263,191,86.1,72.39999999999999,97,100,96.3,100
High Peak,254,239,171,85.9,70.3,98,100,95.39999999999999,100
Wolverhampton,214,197,141,85.9,74.5,95.3,98,93.10000000000001,99.5
East Staffordshire,261,249,185,85.6,70.39999999999999,97.39999999999999,96.7,88.6,99.1
Peterborough,193,187,132,85.5,72.3,96.1,100,96.6,100
Sunderland,258,244,176,85.5,76,93.60000000000001,100,98.2,100
Dover,276,258,182,85.3,71.8,96.2,98.6,92.7,99.8
South Oxfordshire,260,240,170,85.3,71.8,96.2,100,96.5,100
Teignbridge,296,276,192,85.3,73.3,95.19999999999999,100,97.2,100
Barking and Dagenham,166,151,107,85.2,67.4,98.6,97.7,88.2,99.6
Welwyn Hatfield,240,226,156,85.2,67.4,98.6,100,94.3,100
East Northamptonshire,242,230,162,85,69.6,97,98.3,91,99.7
Scarborough,278,261,182,84.8,71.8,95.39999999999999,100,96.7,100
Fenland,267,250,175,84.7,69.69999999999999,96.5,100,95.8,100
Nuneaton and Bedworth,216,207,149,84.6,70.5,95.89999999999999,100,96.2,100
South Norfolk,276,257,180,84.6,72.3,94.6,98.9,94,99.8
South Ribble,252,241,169,84.6,70.5,95.89999999999999,98.6,92.30000000000001,99.7
Lincoln,229,215,150,84.39999999999999,64.5,99.1,100,93.2,100
Crawley,243,228,152,83.89999999999999,64.9,98.3,100,93.5,100
Newcastle-under-Lyme,271,253,176,83.89999999999999,69.89999999999999,95.19999999999999,100,96.3,100
Rossendale,247,236,172,83.89999999999999,64.9,98.3,97.5,87.1,99.6
Ryedale,242,233,156,83.89999999999999,64.9,98.3,100,93.7,100
Cheshire West and Chester,256,244,169,83.8,75.5,91.10000000000001,98,94.89999999999999,99.2
Medway,220,202,140,83.7,72.8,93,100,97.7,100
Allerdale,209,201,142,83.6,69.19999999999999,95.19999999999999,100,96.1,100
Braintree,232,221,154,83.6,71.39999999999999,93.8,98.9,94,99.8
Stevenage,217,208,144,83.39999999999999,63.2,98.5,100,92.80000000000001,100
Sutton,243,226,163,83.3,70.1,94.1,98.8,93.30000000000001,99.8
Gosport,263,252,171,83.2,65.5,96.89999999999999,100,94.39999999999999,100
North Lincolnshire,241,231,162,83.1,71.5,92.9,100,97.3,100
Rochford,249,234,159,83.1,67.2,95.7,100,95.3,100
Bolsover,185,175,118,82.89999999999999,65.8,96.3,100,94.8,100
Northampton,252,236,160,82.89999999999999,70.3,93.4,100,97,100
Reading,217,205,138,82.89999999999999,65.8,96.3,100,94.8,100
Stockton-on-Tees,244,232,162,82.69999999999999,70.39999999999999,92.9,100,97.2,100
Broadland,276,262,174,82.39999999999999,69.89999999999999,92.80000000000001,98.9,94,99.8
Redditch,285,268,190,82.39999999999999,64.5,96.39999999999999,97.8,88.4,99.6
South Holland,258,243,162,82,66.8,94.39999999999999,98.4,91.5,99.7
Epping Forest,222,203,142,81.89999999999999,67,94,98.4,91.7,99.7
Uttlesford,272,258,180,81.89999999999999,65.10000000000001,95.3,98,89.5,99.6
Sefton,236,226,157,81.69999999999999,72.5,89.8,98.7,95.5,99.7
Leeds,261,241,169,81.6,75.2,87.5,98.7,96.8,99.5
Tamworth,225,219,156,81.5,63.3,95.8,100,94.1,100
Corby,206,196,131,81.39999999999999,59.5,98,100,91.7,100
East Riding of Yorkshire,308,289,194,81.10000000000001,73.5,88,98.3,95.8,99.3
Richmondshire,247,232,153,81.10000000000001,60.3,97.2,100,92.4,100
Ashford,257,248,165,81,66.7,92.9,98.6,92.4,99.8
Castle Point,229,209,142,80.7,65.2,93.5,98.3,91,99.7
Central Bedfordshire,230,219,149,80.7,70.89999999999999,89.3,99.3,96.1,99.9
Newcastle upon Tyne,235,221,148,80.7,68.89999999999999,90.8,99,94.8,99.8
Middlesbrough,233,214,144,80.2,64,93.4,98.2,90.60000000000001,99.7
North East Lincolnshire,237,228,154,80,67.5,90.7,100,97,100
Adur,261,245,165,79.7,60.3,95.1,97.39999999999999,86.5,99.5
Wokingham,244,234,153,79.7,66.3,91,100,96.7,100
Southampton,243,224,150,79.60000000000001,66.60000000000001,90.8,98.8,93.5,99.8
Stoke-on-Trent,214,202,137,79.3,68.4,88.9,98.3,94.1,99.5
Wigan,222,215,147,79.10000000000001,70.1,87.2,98.3,95.1,99.4
Broxbourne,208,195,128,78.60000000000001,60.4,93.5,100,94.1,100
Chelmsford,248,229,149,78.60000000000001,66.10000000000001,89.5,97.8,92.4,99.4
Kettering,245,228,153,78.60000000000001,62.1,92.30000000000001,98.1,90.10000000000001,99.7
Swale,222,208,131,78.60000000000001,65.10000000000001,90.2,100,96.6,100
County Durham,252,225,150,78.2,71.3,84.6,98.6,96.39999999999999,99.4
Gateshead,255,242,154,78.2,66.2,88.7,99,94.6,99.8
Mid Devon,272,259,164,77.10000000000001,60.699999999999996,90.9,100,95.1,100
Exeter,257,246,156,77,60.099999999999994,91.2,100,94.89999999999999,100
North Norfolk,310,287,188,76.8,64.4,87.8,97.8,92.5,99.4
Arun,302,291,183,75.8,64.9,85.7,99.2,95.5,99.9
Plymouth,242,226,144,74.4,63.7,84,98.4,94.3,99.6
North Devon,249,233,143,73.4,58.3,86.7,100,95.89999999999999,100
Eastleigh,240,230,139,72,57.599999999999994,85,100,96.2,100
Torbay,294,275,163,70.89999999999999,58.3,82.39999999999999,100,97.1,100
Torridge,267,256,148,70.1,53.800000000000004,84.89999999999999,100,95.1,100
Hartlepool,210,199,120,69.6,52.800000000000004,84.8,100,94.89999999999999,100
