LTLA name,Total sampled in LTLA,N. vaccinated,N. antibody positive,Weighted and adjusted antibody prevalence,Weighted and adjusted antibody prevalence LCI,Weighted and adjusted antibody prevalence UCI,Weighted vaccination prevalence,Weighted vaccination prevalence LCI,Weighted vaccination prevalence UCI
Cheshire West and Chester,28,9,10,53.1,43.9,62.6,37.4,30.5,44.9
Staffordshire Moorlands,31,13,14,52.900000000000006,37.7,68.89999999999999,39.6,27.6,53.1
Doncaster,38,15,13,52.6,44.3,61.1,41,34.8,47.5
Folkestone and Hythe,30,14,13,52.5,38.2,67.60000000000001,43.5,31.900000000000002,55.900000000000006
Wyre,34,16,14,52.5,38.2,67.60000000000001,49.2,37.1,61.4
Lewes,30,14,13,51.9,36.9,67.7,48.1,35.4,61.1
Sandwell,47,18,21,51.800000000000004,44.800000000000004,59,36,30.599999999999998,41.8
Gateshead,51,21,21,51.7,43.4,60.199999999999996,39.900000000000006,33.5,46.7
Winchester,34,14,15,51.6,37.5,66.60000000000001,37.3,26.700000000000003,49.3
Mid Suffolk,27,12,11,51.5,35,69.3,46.5,32.5,61.1
Eastbourne,25,10,9,51.300000000000004,35.9,67.80000000000001,44.9,31.900000000000002,58.699999999999996
Wakefield,35,10,11,50.8,42.6,59.199999999999996,37.7,31.4,44.6
Redbridge,47,14,17,50.6,42.3,59.199999999999996,31.3,25.7,37.5
Chorley,33,11,15,50.5,37,64.8,26.1,17.2,37.5
Rochdale,37,14,15,50.3,41.5,59.4,37.2,30.5,44.5
Dartford,41,14,15,50.2,37.2,64,36.1,26,47.599999999999994
Norwich,45,11,15,49.7,37,63.3,31.6,22.2,42.699999999999996
Maldon,23,7,8,48.8,30.099999999999998,69.69999999999999,34.4,20.4,51.7
Oadby and Wigston,29,13,11,48.8,30.099999999999998,69.69999999999999,43.8,28.199999999999996,60.699999999999996
South Lakeland,24,10,10,48.699999999999996,32.5,66.60000000000001,38.6,25.7,53.400000000000006
Manchester,87,36,32,48.3,43.5,53.2,44.7,40.699999999999996,48.699999999999996
Wigan,49,18,20,47.699999999999996,41,54.6,33.900000000000006,28.799999999999997,39.4
Middlesbrough,43,14,17,47.5,37.4,58.3,29.2,22.1,37.6
Crawley,50,10,18,47.4,35.3,60.5,19.8,12.7,29.4
Mendip,20,9,8,47.199999999999996,30.099999999999998,66.4,50,35.199999999999996,64.8
Slough,45,13,15,46.800000000000004,35.4,59.099999999999994,28.7,20.8,38.2
Stoke-on-Trent,39,17,14,46.6,38.3,55.50000000000001,47.3,40.2,54.50000000000001
Gedling,42,14,14,46.5,34.699999999999996,59.3,38.5,29.099999999999998,48.699999999999996
Three Rivers,30,10,10,46,30.9,63,24.5,14.899999999999999,37.6
Torbay,17,5,6,45.800000000000004,28.1,66.2,27.500000000000004,16.1,42.8
Harlow,24,9,9,45.300000000000004,29.2,63.7,34.1,21.9,48.9
West Oxfordshire,26,10,9,45.2,30.9,61.199999999999996,37.9,26.6,50.8
Newark and Sherwood,34,10,11,44.800000000000004,30.9,60.4,34.4,23.9,46.6
Teignbridge,26,11,10,44.800000000000004,30.9,60.4,39.7,28.1,52.5
North Tyneside,32,10,11,44.4,34.300000000000004,55.400000000000006,31.6,24.3,39.900000000000006
Stockton-on-Tees,39,16,16,44.4,35.099999999999994,54.50000000000001,42.3,34.4,50.5
Worthing,33,11,11,44.3,30.3,60.199999999999996,37.5,26.700000000000003,49.7
Blackburn with Darwen,33,7,11,44.1,33.7,55.400000000000006,24.099999999999998,17,32.9
Lincoln,37,16,16,44,30.3,59.5,38.1,27.1,50.4
Tameside,43,19,15,44,35.6,53.2,44.2,37,51.7
Test Valley,33,14,13,44,31,58.5,42.9,31.900000000000002,54.50000000000001
Torridge,26,11,10,44,25.6,65.8,40.6,25.5,57.699999999999996
County Durham,41,18,16,43.7,37.7,50.1,39,34.1,44.2
Lambeth,110,33,41,43.7,38.7,48.8,29.9,26.200000000000003,33.900000000000006
Rugby,40,11,14,43.5,31.1,57.4,29.299999999999997,20.200000000000003,40.400000000000006
Hyndburn,28,13,13,43.2,28.799999999999997,59.699999999999996,42.6,30.3,55.800000000000004
Daventry,32,11,11,43.1,26.200000000000003,63,35.099999999999994,21.8,51.2
Newham,104,38,33,43.1,37.8,48.8,38,33.6,42.5
Basildon,41,16,14,42.9,33.4,53.300000000000004,40.1,32.300000000000004,48.5
West Suffolk,38,12,13,42.9,32.7,54.300000000000004,32.7,24.7,41.9
Hastings,32,12,11,42.8,29.9,57.4,39.4,28.499999999999996,51.5
Waltham Forest,66,21,22,42.6,35.699999999999996,49.9,29.9,24.8,35.6
Ealing,64,14,20,42.5,36,49.5,22.400000000000002,18,27.400000000000002
Pendle,19,6,6,42.5,24.7,64,26.5,14.6,43.1
Sheffield,48,22,19,42.4,37.1,48,40.9,36.5,45.5
Ipswich,54,23,22,42.3,31.900000000000002,53.900000000000006,38.1,29.599999999999998,47.3
Liverpool,58,26,19,42.3,36.8,48,49.7,45,54.400000000000006
Barnet,50,12,16,42.199999999999996,35.4,49.5,25.7,21,31
Watford,43,11,16,41.8,29.599999999999998,55.7,26,17.299999999999997,37.1
Warrington,30,12,12,41.699999999999996,32.6,51.6,33.300000000000004,26.3,41.199999999999996
Gravesham,35,14,15,41.5,28.9,55.900000000000006,32.4,22.7,43.9
Bradford,47,21,15,41.3,35.5,47.5,46.9,41.699999999999996,52.1
Maidstone,30,11,11,41.3,28.999999999999996,55.400000000000006,36.6,26.400000000000002,48.199999999999996
Redditch,44,13,16,41.3,27.800000000000004,57.099999999999994,29.599999999999998,19.1,42.8
Mansfield,31,17,12,41.199999999999996,29.2,55.00000000000001,53.400000000000006,42.1,64.4
Westminster,85,25,28,41,34.2,48.199999999999996,32.300000000000004,27.3,37.8
Hammersmith and Fulham,87,28,30,40.9,33.6,48.9,27.400000000000002,22,33.6
Medway,35,13,11,40.9,32.6,49.9,36.3,29.4,43.7
Salford,73,20,22,40.9,34.300000000000004,48,27.800000000000004,22.900000000000002,33.300000000000004
Ashfield,32,12,11,40.699999999999996,28.599999999999998,54.7,35.4,25.8,46.400000000000006
Brent,56,20,22,40.6,34.4,47.3,31.7,26.8,37.1
Southampton,57,21,22,40.5,33.300000000000004,48.3,37.1,30.9,43.9
Dudley,42,16,14,40.400000000000006,33,48.4,33.5,27.800000000000004,39.7
Plymouth,41,17,17,40.400000000000006,32.6,48.9,36.5,30.099999999999998,43.4
Derbyshire Dales,23,11,8,40,21.7,63.1,44.4,27.6,62.7
East Riding of Yorkshire,30,8,10,40,31.5,49.5,26.1,19.8,33.6
Leeds,55,21,18,40,35.8,44.5,37.1,33.6,40.699999999999996
West Lancashire,28,10,9,40,26.200000000000003,56.39999999999999,33.900000000000006,22.900000000000002,47
Stratford-on-Avon,33,12,12,39.900000000000006,26.700000000000003,55.300000000000004,35,24.2,47.599999999999994
Birmingham,45,13,15,39.800000000000004,36.1,43.8,29.099999999999998,26.3,32.1
Stevenage,44,17,14,39.800000000000004,26.900000000000002,54.900000000000006,36.4,25.8,48.4
Dorset,16,5,6,39.6,29.5,51.1,26.700000000000003,19.1,35.8
Wellingborough,30,11,10,39.6,23.400000000000002,59.599999999999994,31.8,20,46.6
Barrow-in-Furness,30,11,11,39.5,24.3,57.9,32.5,20.1,48
Boston,34,11,11,39.4,24.7,57.199999999999996,31.8,20,46.6
Uttlesford,30,10,11,39.4,24.7,57.199999999999996,31.8,20,46.6
South Norfolk,34,12,11,39,27.3,52.7,35.9,26.1,47
St Albans,41,12,14,38.9,28.1,51.4,29.9,21.3,40.2
Wirral,26,14,10,38.9,30.9,47.9,59.099999999999994,51.7,66.10000000000001
Dover,22,9,7,38.5,24,56.10000000000001,36,24.099999999999998,49.9
Erewash,37,17,13,38.5,26.200000000000003,52.900000000000006,40,29.299999999999997,51.7
Exeter,41,12,13,38.5,27.1,51.800000000000004,31,22.1,41.5
Havering,36,11,12,38.5,29.7,48.4,27.700000000000003,21.3,35.3
Spelthorne,29,7,9,38.5,25.1,54.50000000000001,19.3,11.1,31.3
Stroud,22,5,7,38.5,23.599999999999998,56.699999999999996,23.3,13.200000000000001,37.7
Tewkesbury,42,11,13,38.5,25.1,54.50000000000001,25.4,16.1,37.8
Wyre Forest,34,16,11,38.5,25.4,54.1,48.3,36.199999999999996,60.699999999999996
"Bristol, City of",67,21,22,38.4,33.2,43.9,29.7,25.8,33.900000000000006
Wolverhampton,35,13,11,38.2,30.2,47.199999999999996,34.4,27.900000000000002,41.6
Leicester,54,22,20,38.1,31.900000000000002,44.7,38.3,33.1,43.9
Guildford,34,10,11,38,27.1,50.7,27.3,19.1,37.4
Hounslow,50,16,12,37.9,30.4,46.1,30.7,25.1,37
Forest of Dean,29,11,8,37.7,23.9,54.50000000000001,44.2,31.6,57.699999999999996
Camden,68,17,18,37.6,30.9,45.1,31.5,26.1,37.4
Ashford,22,7,5,37.5,23,55.50000000000001,32.1,21.099999999999998,45.5
Rossendale,26,9,8,37.2,20.7,58.4,38.2,23.9,55.00000000000001
Selby,38,12,13,37.2,25.1,51.800000000000004,33.800000000000004,23.5,46
Richmondshire,26,7,7,37,19.900000000000002,59.4,20,9.5,37.3
Canterbury,28,9,9,36.9,25.5,50.4,31.900000000000002,22.3,43.4
Horsham,35,12,10,36.9,25.7,50.2,36.1,26.6,46.9
Kingston upon Thames,40,15,12,36.9,25.7,50.2,30.7,22.5,40.300000000000004
Barnsley,28,10,9,36.8,28.199999999999996,46.5,39.7,32.2,47.8
Haringey,55,13,15,36.7,29.5,44.7,28.299999999999997,22.8,34.5
Melton,25,10,8,36.6,18,61.8,40.9,23.3,61.3
Harrow,39,12,12,36.4,28.299999999999997,45.6,28.7,22.2,36.199999999999996
Kirklees,26,7,8,36.4,29.2,44.3,28.999999999999996,23.3,35.5
Corby,28,7,8,36.199999999999996,20.7,56.10000000000001,23.3,13.200000000000001,37.7
Epsom and Ewell,30,13,9,36.199999999999996,20.7,56.10000000000001,41.199999999999996,26.400000000000002,57.8
North Norfolk,19,10,8,36.199999999999996,20.7,56.10000000000001,41.699999999999996,27.1,57.8
South Tyneside,38,8,12,36,26,47.699999999999996,18.9,12.7,27.200000000000003
Sutton,36,8,11,36,26.700000000000003,46.800000000000004,21,14.7,28.999999999999996
Sedgemoor,37,11,11,35.8,24.4,49.3,34.599999999999994,25,45.7
Harrogate,22,8,7,35.699999999999996,23.200000000000003,51.1,32.300000000000004,22.2,44.4
North Kesteven,23,2,6,35.6,21.3,53.800000000000004,9.3,3.6999999999999997,21.6
Breckland,35,12,10,35.4,24.4,48.6,29.299999999999997,21,39.300000000000004
Bromsgrove,23,7,7,35.4,20.7,54.2,28.9,17,44.800000000000004
Kettering,40,15,13,35.3,24.099999999999998,48.699999999999996,34.699999999999996,24.9,45.9
Luton,40,15,10,35.099999999999994,26.8,44.7,37.5,30.4,45.2
Cannock Chase,29,12,8,34.9,22.3,50.5,35.5,24.7,47.9
Lancaster,25,18,9,34.8,23.1,49.2,75.4,64,84
Hartlepool,19,6,6,34.699999999999996,20.7,52.7,34.9,22.400000000000002,49.8
Bolton,24,7,8,34.599999999999994,25.3,45.4,25,18,33.6
North Lincolnshire,42,17,13,34.599999999999994,25.3,45.4,31.2,23.9,39.7
South Staffordshire,33,11,10,34.599999999999994,22.7,49.3,34.300000000000004,24.099999999999998,46.300000000000004
Babergh,26,9,7,34.5,20.1,53,31.7,19.6,47
Bury,45,11,13,34.4,25.900000000000002,44.2,24.3,17.9,32
Gloucester,39,9,13,34.300000000000004,24,46.7,17.599999999999998,11.1,26.700000000000003
Vale of White Horse,38,8,9,34.300000000000004,22.7,48.5,22.7,14.7,33.300000000000004
"Bournemouth, Christchurch and Poole",36,13,9,34.2,27.800000000000004,41.3,42.8,37,48.8
Coventry,55,15,14,34.2,28.7,40.2,31,26.400000000000002,36
North Somerset,36,13,11,34.1,25.4,44.2,31.3,24,39.7
Calderdale,35,11,11,34,25.2,44.2,25.6,18.8,33.900000000000006
Gosport,33,10,8,34,21.4,49.9,32.800000000000004,22.1,45.6
Braintree,28,8,9,33.900000000000006,22.7,47.699999999999996,24.3,16,35.199999999999996
Mole Valley,29,10,7,33.7,18.6,53.900000000000006,40,25.6,56.39999999999999
Cambridge,85,25,22,33.6,24.6,44.3,31.1,23.599999999999998,39.800000000000004
Newcastle upon Tyne,49,17,13,33.6,27.200000000000003,40.8,34.699999999999996,29.2,40.699999999999996
Dacorum,38,8,9,33.5,23.599999999999998,45.2,22.8,15.7,31.900000000000002
Northumberland,36,14,12,33.5,26.1,42,35.199999999999996,28.599999999999998,42.3
Huntingdonshire,38,13,11,33.4,23.9,44.7,32.4,24.2,41.8
Southwark,95,20,24,33.4,28.000000000000004,39.300000000000004,20.200000000000003,16.6,24.4
Tower Hamlets,146,26,37,33.4,28.7,38.5,17.9,14.899999999999999,21.4
Adur,28,8,9,33.300000000000004,17.7,54.400000000000006,28.999999999999996,16.1,46.6
Cheltenham,44,15,12,33.2,22.7,45.800000000000004,36.5,27,47.099999999999994
Central Bedfordshire,32,10,9,33.1,24.5,43.2,32.6,25.2,41
Kensington and Chelsea,65,16,20,33.1,24.9,42.699999999999996,22.1,16.1,29.7
Bedford,40,12,12,32.7,23.599999999999998,43.5,25.900000000000002,18.7,34.699999999999996
Eden,29,9,9,32.7,16.7,55.00000000000001,30,16.7,47.9
Mid Sussex,33,7,7,32.7,22,45.9,25.900000000000002,17.599999999999998,36.4
North West Leicestershire,34,13,9,32.7,20.5,48.3,41.099999999999994,29.2,54.1
Greenwich,64,17,16,32.5,25.6,40.300000000000004,26,20.7,32
Hackney,96,18,28,32.5,27.1,38.5,16.8,13.3,20.9
Basingstoke and Deane,40,15,10,32,22.2,43.9,39.800000000000004,30.4,49.9
North Warwickshire,34,9,10,32,19.400000000000002,48.5,28.000000000000004,17.5,41.699999999999996
Isle of Wight,18,8,5,31.8,19.5,47.599999999999994,45.5,33,58.5
Epping Forest,30,10,9,31.7,20.4,46,29.099999999999998,20.3,39.900000000000006
South Hams,25,7,7,31.5,16,53.400000000000006,28.1,15.6,45.4
Telford and Wrekin,49,18,16,31.5,23.599999999999998,40.9,31,24.099999999999998,39
Allerdale,28,13,7,31.4,18.9,47.599999999999994,42.3,29.9,55.800000000000004
Brentwood,29,6,7,31.4,17.7,49.9,23.799999999999997,13.5,38.5
Swale,33,9,8,31.4,21.6,43.4,33.300000000000004,24.5,43.6
Nottingham,55,16,16,31.3,25.2,38.1,27,22.1,32.6
Rushcliffe,35,13,10,31.3,19.900000000000002,46,37.1,26.200000000000003,49.5
Trafford,33,9,8,31.3,22.8,41.5,30.5,23.200000000000003,38.9
Chesterfield,34,14,10,31.2,20,45.4,38.2,27.6,50.1
Harborough,22,6,5,31.2,16.5,51.6,22.900000000000002,12.1,39
Islington,100,12,25,31,25.1,37.5,11.600000000000001,8.4,15.7
South Derbyshire,39,16,12,31,20.1,44.800000000000004,39.1,28.499999999999996,50.9
Hart,23,10,7,30.9,16.900000000000002,50.1,47.4,32.5,62.7
"Herefordshire, County of",24,10,7,30.9,21.5,42.6,41.699999999999996,32.300000000000004,51.7
Wandsworth,93,20,27,30.9,26,36.199999999999996,19.5,16.1,23.5
Thurrock,42,8,10,30.8,22.400000000000002,40.9,18.4,12.8,25.7
King's Lynn and West Norfolk,28,4,8,30.599999999999998,20.5,43.2,12.2,6.800000000000001,21
Merton,58,14,13,30.5,23,39.300000000000004,28.199999999999996,22,35.4
Rotherham,37,17,11,30.4,22.7,39.6,52.300000000000004,44.4,60
West Berkshire,41,9,10,30.4,20.9,42.1,20.599999999999998,13.8,29.7
Tendring,30,7,8,30.3,19.2,44.7,24.6,15.8,36.3
High Peak,26,9,7,30.2,15.9,50.3,35.099999999999994,21.8,51.2
West Lindsey,24,7,7,30,16.400000000000002,48.9,25,14.2,40.2
South Kesteven,24,7,6,29.7,17.1,46.800000000000004,25.900000000000002,16.1,38.9
Elmbridge,33,7,8,29.5,18,44.6,19.400000000000002,11.4,30.9
New Forest,25,8,6,29.5,19.6,42.199999999999996,33.300000000000004,24,44.1
Eastleigh,37,11,9,29.2,18.9,42.5,31.5,22,42.9
Thanet,41,13,12,29.099999999999998,19.6,41,27.800000000000004,19.6,37.8
Great Yarmouth,29,12,8,28.999999999999996,17,45.1,37.7,25.900000000000002,51.2
East Cambridgeshire,48,14,13,28.9,17.9,43.3,28.799999999999997,19.3,40.6
East Suffolk,33,13,9,28.9,20.8,38.7,37.7,29.799999999999997,46.300000000000004
Scarborough,35,11,8,28.9,17.7,43.9,32.300000000000004,22.2,44.4
Shropshire,33,14,10,28.9,22.400000000000002,36.4,36.4,30.3,43
Walsall,50,15,13,28.7,22.8,35.5,28.4,23.200000000000003,34.2
Copeland,37,20,8,28.4,14.899999999999999,47.8,53.800000000000004,38.6,68.4
Fylde,28,9,7,28.4,15.9,45.800000000000004,34.1,21.9,48.9
South Holland,38,12,8,28.4,16.7,44.3,31.1,20.9,43.6
Surrey Heath,28,6,6,28.4,14.899999999999999,47.8,20.9,11.4,35.199999999999996
Tandridge,28,13,7,28.4,15.9,45.800000000000004,47.699999999999996,33.800000000000004,62.1
West Devon,21,5,5,28.4,11.799999999999999,54.800000000000004,19,7.7,40
Buckinghamshire,119,25,26,28.000000000000004,22.2,34.599999999999994,21.3,17,26.400000000000002
North East Lincolnshire,23,7,7,28.000000000000004,17.8,41.3,29.299999999999997,20.200000000000003,40.400000000000006
Portsmouth,40,16,15,28.000000000000004,20.599999999999998,37,27.500000000000004,21.2,34.9
Tunbridge Wells,33,9,8,27.900000000000002,17,42.5,25.4,16.5,36.9
Cotswold,25,7,6,27.700000000000003,15,45.7,25.6,14.899999999999999,40.2
Peterborough,49,12,10,27.3,19.6,36.7,23.599999999999998,17.599999999999998,30.8
South Northamptonshire,35,11,9,27.3,16,42.8,29.099999999999998,18.8,42.1
Welwyn Hatfield,38,8,8,27.200000000000003,17.299999999999997,40.2,22.400000000000002,14.799999999999999,32.300000000000004
Bassetlaw,26,10,7,27,16.400000000000002,41.199999999999996,33.800000000000004,23.5,46
Chelmsford,36,9,9,27,18.4,37.8,22.8,16.1,31.3
Tonbridge and Malling,30,11,8,26.8,16.7,40,33.800000000000004,24,45.1
Darlington,40,11,10,26.200000000000003,16.8,38.5,26.1,18.2,35.9
Stockport,41,14,10,26,19.6,33.6,34,27.900000000000002,40.699999999999996
"Kingston upon Hull, City of",34,8,8,25.900000000000002,19.1,34,21.9,16.7,28.199999999999996
South Oxfordshire,39,9,9,25.7,16.7,37.5,23.9,16.2,33.7
Sevenoaks,31,9,8,25.6,14.499999999999998,41.099999999999994,29.799999999999997,19.5,42.699999999999996
Broxbourne,35,7,10,25.5,15.1,39.800000000000004,16.1,9,27.200000000000003
Amber Valley,32,8,8,25.3,15.299999999999999,38.9,20.599999999999998,12.7,31.6
Reigate and Banstead,38,6,9,25.1,16.2,36.7,13.8,8.1,22.6
South Gloucestershire,40,9,9,25.1,18.5,33.1,23.1,17.599999999999998,29.7
Nuneaton and Bedworth,38,8,8,24.7,16.5,35.3,22.5,15.5,31.6
Wealden,24,11,5,24.7,15.1,37.7,47.199999999999996,36.1,58.599999999999994
Arun,22,7,6,24.4,14.099999999999998,38.800000000000004,26.6,17.299999999999997,38.5
Lewisham,71,15,17,24.4,19.3,30.4,21.5,17.4,26.200000000000003
Reading,67,15,13,24.4,17.299999999999997,33.2,24.3,18.2,31.7
Bromley,34,5,6,24.3,17.5,32.7,17.299999999999997,12.5,23.5
Broxtowe,36,11,11,24.099999999999998,14.499999999999998,37.3,22.2,14.2,33.1
Rochford,27,8,7,24.099999999999998,12.4,41.6,27.3,16.3,41.8
Carlisle,32,6,6,24,13.900000000000002,38.2,19.400000000000002,11.700000000000001,30.4
Newcastle-under-Lyme,42,12,8,24,15.299999999999999,35.6,33.300000000000004,24.7,43.2
East Staffordshire,40,12,10,23.9,14.799999999999999,36.199999999999996,25.8,17.9,35.8
Tamworth,26,8,6,23.9,11.200000000000001,43.8,28.9,17,44.800000000000004
Warwick,40,7,7,23.9,15.4,35.199999999999996,18.4,12.1,27
East Northamptonshire,31,4,6,23.799999999999997,13.100000000000001,39.300000000000004,15.1,7.9,27.1
Swindon,37,4,8,23.7,16.3,33.2,12,7.3999999999999995,18.9
York,38,7,8,23.599999999999998,16.1,33.2,18.8,13.100000000000001,26.3
South Cambridgeshire,42,15,12,23.5,14.899999999999999,34.8,31.6,23.1,41.5
North Hertfordshire,40,8,9,23.3,14.399999999999999,35.3,16.5,10.100000000000001,25.8
Northampton,41,9,9,23.3,15.4,33.5,18.8,12.9,26.400000000000002
Somerset West and Taunton,35,9,8,23.3,14.2,35.8,22.5,14.7,32.800000000000004
Lichfield,33,9,6,23.200000000000003,13.3,37.1,28.599999999999998,18.9,40.699999999999996
East Devon,32,10,7,23.1,13.8,35.9,28.4,19.400000000000002,39.5
Windsor and Maidenhead,42,8,7,22.900000000000002,14.6,34.1,22.400000000000002,15.299999999999999,31.7
Hinckley and Bosworth,30,7,6,22.8,12.8,37.2,24.6,15.5,36.7
Castle Point,33,9,7,22.400000000000002,12.6,36.6,21.5,13.3,33
Hambleton,22,3,5,22.400000000000002,10.4,41.6,12.5,5,28.1
Bracknell Forest,31,8,8,22,12.3,36,18.8,11.1,30
Blaby,30,9,6,21.9,11.600000000000001,37.4,28.799999999999997,18.3,42.3
East Hertfordshire,34,11,7,21.7,12.4,35,33.300000000000004,23.5,44.800000000000004
Cornwall,31,7,6,21.099999999999998,16,27.200000000000003,20.4,16.3,25.2
Bolsover,40,9,8,20.599999999999998,10.8,35.5,23.599999999999998,14.399999999999999,36.3
Milton Keynes,40,6,7,20.1,13.700000000000001,28.499999999999996,14.299999999999999,9.6,20.7
Broadland,32,4,5,19.900000000000002,11,32.9,14.7,8.200000000000001,25
Richmond upon Thames,40,8,7,19.400000000000002,12,29.599999999999998,19.8,13.200000000000001,28.599999999999998
Mid Devon,31,10,6,18.8,9,34.599999999999994,28.599999999999998,17.8,42.4
Chichester,30,9,6,18.7,10,31.8,28.1,18.6,40.1
Worcester,27,5,5,18.4,9.2,32.9,16.7,9,28.7
Oxford,86,16,15,18,11.700000000000001,26.400000000000002,16.6,11.600000000000001,23.200000000000003
Ryedale,29,9,5,17.7,6.9,37.6,32.300000000000004,18.6,49.9
Woking,36,8,5,17.7,8.799999999999999,31.8,22.8,13.8,35.199999999999996
Cheshire East,39,8,7,17.299999999999997,12.3,23.599999999999998,19.3,14.799999999999999,24.9
Runnymede,46,9,8,16.7,8.200000000000001,30.3,19,11.200000000000001,30.4
North Devon,31,7,5,16.2,7.6,30.4,24.099999999999998,14.6,36.9
Charnwood,39,7,6,14.2,8.1,23.1,16.7,10.9,24.6
Fenland,37,5,6,13.600000000000001,5.8999999999999995,27.200000000000003,11.5,5.7,21.8
Rushmoor,46,8,5,10.2,4.7,19.7,16.1,10,24.9
