region,age_group,react_week_number,react_week_start_date,number_positive,number_samples,round
West Midlands,18-24,19,04/05/2020,0,14,Round 1
West Midlands,25-34,19,04/05/2020,0,48,Round 1
West Midlands,35-44,19,04/05/2020,0,47,Round 1
West Midlands,45-54,19,04/05/2020,0,78,Round 1
West Midlands,55-64,19,04/05/2020,0,18,Round 1
West Midlands,65+,19,04/05/2020,0,36,Round 1
Yorkshire and The Humber,5-12,19,04/05/2020,0,8,Round 1
Yorkshire and The Humber,13-17,19,04/05/2020,0,8,Round 1
Yorkshire and The Humber,18-24,19,04/05/2020,0,8,Round 1
Yorkshire and The Humber,25-34,19,04/05/2020,0,29,Round 1
Yorkshire and The Humber,35-44,19,04/05/2020,0,23,Round 1
Yorkshire and The Humber,45-54,19,04/05/2020,0,43,Round 1
Yorkshire and The Humber,55-64,19,04/05/2020,0,24,Round 1
Yorkshire and The Humber,65+,19,04/05/2020,0,32,Round 1
East Midlands,5-12,20,11/05/2020,1,337,Round 1
East Midlands,13-17,20,11/05/2020,0,227,Round 1
East Midlands,18-24,20,11/05/2020,0,260,Round 1
East Midlands,25-34,20,11/05/2020,1,395,Round 1
East Midlands,35-44,20,11/05/2020,3,459,Round 1
East Midlands,45-54,20,11/05/2020,1,586,Round 1
East Midlands,55-64,20,11/05/2020,0,659,Round 1
East Midlands,65+,20,11/05/2020,2,731,Round 1
East of England,5-12,20,11/05/2020,1,347,Round 1
East of England,13-17,20,11/05/2020,0,219,Round 1
East of England,18-24,20,11/05/2020,1,283,Round 1
East of England,25-34,20,11/05/2020,0,424,Round 1
East of England,35-44,20,11/05/2020,2,447,Round 1
East of England,45-54,20,11/05/2020,2,596,Round 1
East of England,55-64,20,11/05/2020,1,688,Round 1
East of England,65+,20,11/05/2020,1,780,Round 1
London,5-12,20,11/05/2020,2,129,Round 1
London,13-17,20,11/05/2020,0,99,Round 1
London,18-24,20,11/05/2020,1,120,Round 1
London,25-34,20,11/05/2020,0,256,Round 1
London,35-44,20,11/05/2020,1,289,Round 1
London,45-54,20,11/05/2020,2,271,Round 1
London,55-64,20,11/05/2020,0,223,Round 1
London,65+,20,11/05/2020,1,197,Round 1
North East,5-12,20,11/05/2020,0,52,Round 1
North East,13-17,20,11/05/2020,0,25,Round 1
North East,18-24,20,11/05/2020,0,39,Round 1
North East,25-34,20,11/05/2020,0,86,Round 1
North East,35-44,20,11/05/2020,1,76,Round 1
North East,45-54,20,11/05/2020,0,112,Round 1
North East,55-64,20,11/05/2020,1,107,Round 1
North East,65+,20,11/05/2020,0,129,Round 1
North West,5-12,20,11/05/2020,1,241,Round 1
North West,13-17,20,11/05/2020,0,189,Round 1
North West,18-24,20,11/05/2020,4,190,Round 1
North West,25-34,20,11/05/2020,2,348,Round 1
North West,35-44,20,11/05/2020,1,397,Round 1
North West,45-54,20,11/05/2020,1,475,Round 1
North West,55-64,20,11/05/2020,0,489,Round 1
North West,65+,20,11/05/2020,2,603,Round 1
South East,5-12,20,11/05/2020,0,490,Round 1
South East,13-17,20,11/05/2020,2,312,Round 1
South East,18-24,20,11/05/2020,1,330,Round 1
South East,25-34,20,11/05/2020,5,496,Round 1
South East,35-44,20,11/05/2020,3,667,Round 1
South East,45-54,20,11/05/2020,1,892,Round 1
South East,55-64,20,11/05/2020,3,941,Round 1
South East,65+,20,11/05/2020,1,1048,Round 1
South West,5-12,20,11/05/2020,1,186,Round 1
South West,13-17,20,11/05/2020,0,132,Round 1
South West,18-24,20,11/05/2020,0,163,Round 1
