date,pos_65_and_over,tot_65_and_over,pos_64_and_under,tot_64_and_under
2020-11-19,12.05438552,3599.749846,93.78807503,10849.43244
2020-11-20,13.78076662,3447.580297,128.9875362,10313.87675
2020-11-21,9.554667346,2279.588655,100.5179288,11914.3209
2020-11-22,3.642045979,1618.239844,91.04422681,8005.864255
2020-11-23,10.9734025,2318.870928,55.47662495,7370.446047
2020-11-24,7.385464333,1896.490255,70.63996117,6702.91578
2020-11-25,2.78692368,1527.543519,59.27106525,5442.280798
2020-11-26,4.913357264,1269.932923,43.73028677,4753.830327
2020-11-27,1.824610263,1070.769038,55.4087568,5131.04665
2020-11-28,2.91815762,743.3302267,61.53471541,5374.781308
2020-11-29,4.784391938,533.2895186,59.4166794,4319.716895
2020-11-30,6.593225947,684.5312814,23.1206018,3471.181083
2020-12-01,2.336162578,543.3144196,39.26429052,3509.686197
2020-12-02,1.135313759,422.1541481,40.77263608,3343.517248
2020-12-03,0,0.370551799,0,17.04053203
2020-12-30,0,7.005383261,0,24.60586717
2020-12-31,0,5.429953963,0,25.44287995
2021-01-01,0,23.27841734,0,67.77627931
2021-01-02,0,43.61001723,6.615192372,165.546462
2021-01-03,0,27.40239771,0.804525892,95.06645727
2021-01-04,0.51095615,124.8400706,9.158369666,307.4586761
2021-01-05,10.05295758,502.4928403,34.17839378,996.4579559
2021-01-06,64.79885341,7398.10144,259.9362021,13526.89
2021-01-07,59.16177018,6105.135819,226.3538138,14315.60034
2021-01-08,46.89649733,4911.593982,252.5478254,14486.22831
2021-01-09,30.7880119,3253.288079,245.0115562,14608.38697
2021-01-10,12.0495552,1947.42819,170.1150505,10209.74434
2021-01-11,14.82629672,2081.993017,181.9008069,10245.05615
2021-01-12,12.50092622,1585.649962,126.8298917,8101.996811
2021-01-13,15.23905526,1150.212332,83.21081423,5884.400225
2021-01-14,13.99825837,902.2980749,140.7202496,5676.876589
2021-01-15,8.643702751,838.8320184,104.0980464,5079.106677
2021-01-16,8.850467232,607.0251525,81.23440997,4869.414109
2021-01-17,0.42458967,325.234862,51.13411908,3046.727376
2021-01-18,3.037675624,515.4625489,63.72245012,3971.012365
2021-01-19,4.887315752,429.8087158,79.28922286,3435.812483
2021-01-20,2.519735662,339.5195106,23.95197068,2574.678718
2021-01-21,0.280285138,241.7599062,25.20908627,2416.164459
2021-01-22,0.878941646,33.82154224,6.746179106,537.9266364
2021-02-04,0,59.77056201,5.489815958,151.6285322
2021-02-05,0,195.4794936,9.748827983,706.3495183
2021-02-06,9.339029959,2011.478322,32.53660797,5822.230976
2021-02-07,4.590970826,1788.347421,40.34032787,5847.282429
2021-02-08,6.019960447,2434.31624,15.51292128,7691.330404
2021-02-09,9.353081344,3299.155987,55.1172054,9264.024914
2021-02-10,9.257925935,3932.458138,75.5421114,10695.95491
2021-02-11,11.53470022,3505.868426,70.40057714,10346.7775
2021-02-12,11.64559788,3326.970181,46.10155243,9767.235462
2021-02-13,3.740884247,2272.361682,62.15341099,9236.853493
2021-02-14,5.513149451,1633.606048,49.85680382,6956.133744
2021-02-15,3.071893256,2304.88121,27.44836247,8783.085252
2021-02-16,3.372946769,2275.042849,64.92288234,9027.9751
2021-02-17,1.432714029,1917.875132,27.68493207,7614.540987
2021-02-18,3.758581834,1388.37205,36.64937121,6408.697584
2021-02-19,0.672934151,924.8357068,20.83537562,5576.099573
2021-02-20,2.791352475,590.0094725,24.59453481,4652.068878
2021-02-21,3.203251157,247.129636,8.937408175,2486.466434
2021-02-22,1.34394056,294.9305441,23.55215034,3542.624579
2021-03-11,0,37.66126195,0,184.2361702
2021-03-12,0,158.6550521,1.88229123,540.0226498
2021-03-13,4.175980488,1853.097607,15.57024938,4676.194128
2021-03-14,0.465686666,1372.494711,29.14180633,5130.680356
2021-03-15,3.146559278,2585.422568,1.67517821,6442.663426
2021-03-16,1.668974908,3199.845677,15.90611518,7015.690492
2021-03-17,5.459405692,3402.097607,19.96559895,7938.321648
2021-03-18,2.389631791,3428.646135,7.217276284,8146.181315
2021-03-19,1.035374565,2964.644,17.68961698,8224.849592
2021-03-20,2.511028473,2146.805774,21.05246814,9668.987246
2021-03-21,0,1265.122976,11.56692372,7579.668998
2021-03-22,2.40909993,2015.608039,16.75993914,7738.390218
2021-03-23,0.470574107,1664.457735,18.06663506,7081.463333
2021-03-24,0.271998782,1370.107692,12.46091255,5753.99277
2021-03-25,1.375561621,955.4655929,12.62132777,4498.760391
2021-03-26,0,660.596884,11.33095354,4025.588461
2021-03-27,1.193078818,362.091242,16.12558866,4579.33649
2021-03-28,0,212.9522606,1.738150505,2549.716168
2021-03-29,0.461283192,277.8314901,9.675901364,3109.187131
2021-03-30,0,0,0,2.325180387
2021-04-15,0,37.59680002,0,258.2848597
2021-04-16,0,111.6872755,5.302851286,460.2602997
2021-04-17,1.048559472,1218.802588,6.078544614,3642.224169
2021-04-18,0,1199.193696,6.10896216,4258.980896
2021-04-19,0.380578231,2053.443786,12.53455691,5641.132423
2021-04-20,2.430355975,2739.096483,1.92468181,6357.60933
2021-04-21,0,3155.531497,4.34598646,7666.031379
2021-04-22,1.257732496,3136.913534,1.74239911,7590.41881
2021-04-23,2.250839911,2733.660701,6.737167675,7651.488017
2021-04-24,0.462627439,1956.546964,8.120695753,7728.232366
2021-04-25,2.187632006,1352.22084,7.251691508,6570.536207
2021-04-26,2.407501792,1817.995054,11.94043372,7008.613311
2021-04-27,3.560725172,1495.86672,6.239111083,5833.112355
2021-04-28,0.764034435,1247.626882,8.299903258,5344.363234
2021-04-29,0.681490242,1000.443905,5.965489599,4685.203543
2021-04-30,0.361222076,736.7902642,5.696598385,4359.338567
2021-05-01,0,500.0830189,2.110354482,4605.109214
2021-05-02,0,169.4062008,7.846495467,1666.235512
2021-05-03,0,302.6317247,0,2528.767064
2021-05-20,0,49.4299304,0,185.1999216
2021-05-21,0,158.1876245,0,409.4823406
2021-05-22,0,1386.90301,2.335718599,3361.173786
2021-05-23,0.644640799,1119.024946,2.486825077,3539.41167
2021-05-24,1.105768938,1743.134941,8.129922682,5042.562955
2021-05-25,0.566973876,2083.538333,10.25721284,5025.230798
2021-05-26,2.042595644,2378.935965,2.803362532,6153.564499
2021-05-27,0.541558648,2415.615179,8.262429399,6156.290971
2021-05-28,3.220579465,2216.376411,9.946389398,6546.85071
2021-05-29,0,1655.868623,15.72921826,5838.664726
2021-05-30,0,585.9329971,4.049049958,2336.849778
2021-05-31,0.594148363,1385.754738,5.460484464,4694.405463
2021-06-01,5.174141407,1534.821888,14.28606047,5751.602128
2021-06-02,0.886692861,1552.772489,11.38964948,5279.794048
2021-06-03,0.496495985,1312.735699,9.783151108,4679.963324
2021-06-04,0,1000.199643,3.222251758,4090.881873
2021-06-05,2.160293236,659.09072,8.565505016,3461.592582
2021-06-06,0,389.3907427,6.7398777,2743.432376
2021-06-07,0,579.7186433,11.66315151,4031.987094
2021-06-24,0,26.86559844,2.224998645,181.0483346
2021-06-25,0,78.59487426,1.473665075,375.2754181
2021-06-26,0,795.3811434,12.57772876,2323.709441
2021-06-27,1.54796222,804.9909708,13.89454109,2654.580666
2021-06-28,2.494691835,1355.534051,22.76073289,3919.649294
2021-06-29,2.612431884,1745.318537,20.67925523,4211.045947
2021-06-30,3.411110295,1840.551895,33.42576158,4603.307226
2021-07-01,2.479013943,1968.117607,36.58173341,4972.590825
2021-07-02,4.10310648,1986.749338,58.3446919,5683.690254
2021-07-03,7.709336175,1561.504543,53.00507299,5154.7346
2021-07-04,3.808084778,1015.120734,28.12655704,4283.790686
2021-07-05,1.614537166,2016.874597,45.65173265,6484.791659
2021-07-06,4.377758267,1774.520638,46.25842415,5404.465457
2021-07-07,3.323797964,1457.701947,27.21984671,4667.842502
2021-07-08,0,1091.147497,37.21733503,3858.873231
2021-07-09,3.083037027,808.9347425,34.62910965,3476.472025
2021-07-10,2.831862448,530.2769113,24.01551531,3600.724959
2021-07-11,1.311527396,311.0565957,15.588034,2383.860122
2021-07-12,1.984939601,473.7968339,25.86288645,3168.414332
