date,logit(p),lb_2.5,lb_25,ub_97.5,ub_75
2020-08-17,-7.427117869,-7.792326822,-7.542333475,-7.094607202,-7.31136917
2020-08-18,-7.381406382,-7.732984614,-7.493191043,-7.063143235,-7.269851831
2020-08-19,-7.333143434,-7.665490195,-7.440022615,-7.032776258,-7.227565403
2020-08-20,-7.282550621,-7.591180644,-7.383197453,-7.001855855,-7.183347679
2020-08-21,-7.228096257,-7.513878372,-7.322519178,-6.967701265,-7.136070288
2020-08-22,-7.169726835,-7.432830613,-7.256694774,-6.928586098,-7.084747931
2020-08-23,-7.105945089,-7.346274572,-7.186276193,-6.884074318,-7.027711606
2020-08-24,-7.037148585,-7.254764275,-7.110296761,-6.833572495,-6.965171984
2020-08-25,-6.963416865,-7.162386099,-7.03029969,-6.775982141,-6.897439069
2020-08-26,-6.88728111,-7.071405402,-6.94977514,-6.710810534,-6.825824961
2020-08-27,-6.810588579,-6.985502242,-6.87028115,-6.640753628,-6.751486204
2020-08-28,-6.735021479,-6.904397925,-6.792815333,-6.567276824,-6.676975852
2020-08-29,-6.662070572,-6.827804782,-6.718616316,-6.496291608,-6.604974267
2020-08-30,-6.59148428,-6.756222438,-6.647295236,-6.427485798,-6.534991977
2020-08-31,-6.523108623,-6.689209513,-6.57896177,-6.359337105,-6.466757912
2020-09-01,-6.45643101,-6.626867535,-6.513336173,-6.290973718,-6.399026064
2020-09-02,-6.390394876,-6.566422592,-6.449374287,-6.222230378,-6.331599792
2020-09-03,-6.325125411,-6.50667161,-6.386891772,-6.153257701,-6.264371445
2020-09-04,-6.260624957,-6.448255282,-6.32492713,-6.081974866,-6.197411023
2020-09-05,-6.197152768,-6.390996826,-6.263609024,-6.006089228,-6.130659721
2020-09-06,-6.133864709,-6.336262797,-6.202529015,-5.929129027,-6.064308186
2020-09-07,-6.070474901,-6.281683359,-6.141482235,-5.854122892,-5.998197569
2020-09-08,-6.006841354,-6.226546625,-6.079621416,-5.782330266,-5.932248246
2020-09-09,-5.943367106,-6.167743927,-6.01776218,-5.714577924,-5.866553673
2020-09-10,-5.879400596,-6.107312398,-5.955526207,-5.648284546,-5.800745519
2020-09-11,-5.81485975,-6.044438228,-5.892488682,-5.58295935,-5.735197867
2020-09-12,-5.749976217,-5.976750508,-5.828051609,-5.521071285,-5.670778957
2020-09-13,-5.684990191,-5.903636096,-5.761248719,-5.464153979,-5.60818185
2020-09-14,-5.620369552,-5.82627819,-5.693142063,-5.411708228,-5.547449842
2020-09-15,-5.556641614,-5.748512898,-5.624946968,-5.361921192,-5.48875216
2020-09-16,-5.494689765,-5.670929649,-5.557536329,-5.314431255,-5.43172434
2020-09-17,-5.434932405,-5.595485339,-5.491927357,-5.270570499,-5.377759743
2020-09-18,-5.378134812,-5.521601138,-5.428299469,-5.231937225,-5.32751816
2020-09-19,-5.324781576,-5.451535716,-5.368784447,-5.197839766,-5.280911998
2020-09-20,-5.276071682,-5.387464076,-5.314735759,-5.16702872,-5.238127823
2020-09-21,-5.23299162,-5.332658599,-5.267248947,-5.137028713,-5.199477008
2020-09-22,-5.196498891,-5.286349924,-5.22711253,-5.10932936,-5.165988149
2020-09-23,-5.166412764,-5.248849895,-5.194665986,-5.084842749,-5.138223139
2020-09-24,-5.141672762,-5.219799208,-5.168468667,-5.063421179,-5.114693898
2020-09-25,-5.120735096,-5.198514826,-5.147263391,-5.042783674,-5.093886248
2020-09-26,-5.101873958,-5.182656664,-5.1293813,-5.021860932,-5.074510491
2020-09-27,-5.084009522,-5.168069353,-5.112585701,-5.002102919,-5.055861211
2020-09-28,-5.065948838,-5.151711333,-5.095189954,-4.982959962,-5.037216579
2020-09-29,-5.047683773,-5.135602978,-5.077670265,-4.961894941,-5.017854244
2020-09-30,-5.028588716,-5.123135575,-5.060835626,-4.93784251,-4.997028954
2020-10-01,-5.009074371,-5.114114522,-5.044579329,-4.910480215,-4.974592711
2020-10-02,-4.989377712,-5.10617213,-5.028848467,-4.880258108,-4.951383252
2020-10-03,-4.969643222,-5.099104247,-5.013336789,-4.848362108,-4.927605178
2020-10-04,-4.949174702,-5.092692254,-4.997923795,-4.814174271,-4.902420589
2020-10-05,-4.927767426,-5.087775278,-4.981776264,-4.778007298,-4.875193317
2020-10-06,-4.904477068,-5.080689763,-4.963438336,-4.741123643,-4.84705917
2020-10-07,-4.878836798,-5.068688319,-4.94137346,-4.705218387,-4.817608499
2020-10-08,-4.850311604,-5.048361404,-4.915095583,-4.672074684,-4.787129028
2020-10-09,-4.819283032,-5.022082163,-4.885319219,-4.63974841,-4.755517403
2020-10-10,-4.785503583,-4.989110515,-4.852155698,-4.608628574,-4.722742825
2020-10-11,-4.749799195,-4.951907907,-4.815533518,-4.577310167,-4.688517278
2020-10-12,-4.711758508,-4.906669271,-4.775178823,-4.547544175,-4.653122412
2020-10-13,-4.671502805,-4.853143329,-4.730711838,-4.519816781,-4.616648221
