"level","prevalence_r1","lower_r1","upper_r1","prevalence_r2","lower_r2","upper_r2","prevalence_r3","lower_r3","upper_r3","prevalence_r4","lower_r4","upper_r4"
"East Midlands","0.00145138083130667","0.000788501101702194","0.00267004338304996","0.000554218576153495","0.000262490911038032","0.0011697877384743",0.000652422867603087,0.000304706046430607,0.0013963842171374,0.000621603373454868,0.000323797421862758,0.00119298329689116
"West Midlands","0.00153620182627635","0.000922115243729892","0.00255819484112294","0.000728855433528636","0.000383497750156183","0.00138479303324596",0.000291020425412902,0.000101390112848215,0.000835020846929624,0.00079832981800713,0.000350212281537693,0.00181879726238015
"East of England","0.00138348326937584","0.000743285497538739","0.00257366833092972","0.000722610547670003","0.00043090242772016","0.00121155702496469",0.000249092003448877,0.000105120282717176,0.000590129622663215,0.000906658545494427,0.00054352675830759,0.0015120326890962
"London","0.00198663238118409","0.00125525774068403","0.00314280076930386","0.00137473205752633","0.000894753820544767","0.00211164375310253",0.000539738296535637,0.000243271060442666,0.00119706877120147,0.00126866060021956,0.000699804502934496,0.00229886387526841
"South West","0.000551772917709599","0.000218585248137669","0.00139212858930831","0.000846011514562549","0.000405820717403745","0.00176283204155511",9.66913610358283e-05,2.59602489130308e-05,0.000360066573705412,0.000878366521520094,0.000396260342705091,0.00194588054819352
"HCW/CHW","0.00517671996481859","0.00305594957960194","0.00875633746081191","0.00125389182063544","0.000461946289236005","0.00339890595756031",0.000407414252865598,0.000116903625756913,0.00141883208505316,0.00296309138645382,0.00157945698328311,0.0055520756207402
"Key worker (other)","0.00162929760346782","0.0010382658362851","0.0025559127847811","0.00115074002535314","0.000695969261301516","0.00190210835203441",0.000526930296454784,0.000240753080393794,0.00115288699809965,0.00135039926282076,0.000860820966807403,0.00211782726781895
"Other worker","0.000971162170767777","0.000662776818065353","0.00142283274387303","0.000770249644657545","0.000561372905538519","0.00105676347627603",0.000304706293020027,0.000176869751115596,0.000524891028785731,0.00139647372012136,0.000992109626705559,0.00196532432360651
"Not FT, PT, SE","0.00158704576895442","0.00102564921764728","0.0024549716523322","0.000906399936899902","0.000581599897143851","0.00141233134488583",0.000402704732844824,0.000228926467004602,0.000708304762943544,0.000791712710185149,0.000444852960996769,0.0014086440209422
"White","0.00137281961788149","0.0011315615411339","0.00166543010503219","0.000810349786735136","0.000641727907649839","0.00102323376683492",0.000311645552354945,0.000217768533999112,0.000445973609431218,0.000938703738140016,0.00074147636227327,0.00118832978921521
"Asian / Asian British","0.00407572945202338","0.0019249881154243","0.00860871420530811","0.00160157624383946","0.000605898152014805","0.00422654175253884",0.000840119035631204,0.000307958141465257,0.00228976360493731,0.00322954341260076,0.00148216824937255,0.00702246657444401
"Black / African / Caribbean / Black British","0.00150998661964413","0.000370762056664413","0.00612819792555093","0.00108389572911502","0.000324986508333088","0.00360861417029057",0.000943560001506419,0.000235528360218464,0.00377200474267205,0.0029970498228105,0.00109550373425808,0.00817224543774652
"Mixed","0.00165278254810665","0.000511404439806279","0.00532796630555863","0.000876919319905467","0.00019149677375758","0.00400583863024814",0.00152863736022217,0.000215279804478797,0.0107680987761313,0.00148043077815769,0.000506783066566183,0.00431660263104635
"Other","0.00119715912287623","0.000275315633007736","0.00518960233053883","0.000969687662834614","0.000203091892148874","0.00461653396492813",0.000809291631214352,0.000113691112960185,0.00573639398643916,0.00489482900638118,0.00109146821702315,0.0216640536928662
"1","0.000324796436531224","0.000169903085646447","0.00062081172785641","0.0016372656869181","0.000940856309678913","0.0028476787762099",0.000179157914561485,5.59224990058322e-05,0.000573809182558583,0.000911147872480471,0.000473351718378481,0.00175314514933045
"2","0.00129064501282699","0.000922527519436649","0.00180538752416008","0.000760928527778189","0.000538767216601204","0.00107459982787683",0.000226134442784421,0.00012184042195039,0.000419665493891105,0.00068753600874615,0.000444682928864151,0.00106287653253418
"3","0.00193247430381465","0.00124406157743154","0.00300068193718682","0.00113896410013245","0.000729660302269975","0.00177745893936916",0.000525549727725071,0.000237723654823315,0.00116145898020317,0.00121012481293565,0.000750243881874413,0.00195135088240369
"4","0.00153224939135108","0.00108245012377189","0.00216855163142612","0.000686281258516205","0.000394252200903873","0.00119436256320086",0.000561786935701343,0.000331589499294363,0.00095164085956246,0.00143381446036391,0.000970512740297781,0.00211781751385279
"5","0.00262680480488783","0.00151805754206551","0.00454166699165167","0.000163465823410823","3.67188666029468e-05","0.000727402338326978",6.88383663301739e-05,9.69403475593388e-06,0.000488652191883349,0.00257537592947182,0.00138959806249168,0.00476817552001954
"6","0.00260406154616134","0.000886263328928034","0.0076259655803297","0.00018041167812261","2.53889579383686e-05","0.00128077699020873",0.00207355847560588,0.000794343431959268,0.00540169185203052,0.00115768807269944,0.000304671668322718,0.00438848640842013
"7+","0.00474748078436028","0.000825884864637456","0.0267909231287227","0.00142198164339926","0.000429866480340157","0.00469310938976514",0.000915229997341749,0.000128650148634299,0.00647987036411863,0.00682952184959078,0.00172600483491609,0.0266209016205595
"No","0.00112683827607677","0.000889259427713969","0.00142779913133702","0.000955262363086736","0.000738483524106145","0.00123559706498519",0.000323752734425746,0.000213304662710906,0.000491362150363763,0.00108996338542583,0.000834579436494304,0.00142338430302545
"Yes, contact with confirmed/tested COVID-19 case","0.0303607618488903","0.0183432995835335","0.0498515436125657","0.0164188590363416","0.00779027519659797","0.0342744095461944",0.00835151792266817,0.00216151512584524,0.0317048045262861,0.0312371208553213,0.0129819371844028,0.0732574375656892
"Yes, contact with suspected COVID-19 case","0.012605867662541","0.00295800277869441","0.0520777252433277","0.000836416478493668","0.000116769147051842","0.00596478663555362",0.00403752736740042,0.000562195901225095,0.0283861696896166,0.0113320022491275,0.00196710201343111,0.0624894211729023
"No","0.00111235454299896","0.000867964577265891","0.00142545842330146","0.00180707128608729","0.000810915653708994","0.00402201170000171",0.000322651543724611,0.00020317457212511,0.000512351040838746,0.00118542974987877,0.000893739355823072,0.00157216955674209
"Yes, I have","0.00507659076405365","0.00295479593997265","0.00870870659246427","0.000503120832255535","0.000108598718473194","0.00232754363262397",0.000216148712197358,3.04402165419804e-05,0.00153308343496537,0.00195685438682582,0.00090241964130558,0.00423812002744596
"Yes, my child has",NA,NA,NA,NA,NA,NA,2.769372199938e-12,2.20109308003723e-12,3.4843698575703e-12,2.72494982763202e-12,2.50633011668025e-12,2.96263908480934e-12
"Yes, someone in my household has","0.00517735300434705","0.00242934391164598","0.0109995616257992","0.00142802624383169","0.000200062354944007","0.0101168495742102",0.00107531658433486,0.000498432777577861,0.00231833437498919,0.00112452593337929,0.00048726060682565,0.00259307848039045
"Don't Know","0.00399573016293932","0.000553179915225192","0.0282562767070044","0.00100459110175055","0.000773805996883816","0.00130411727539335",2.6805944571911e-12,2.44173363368681e-12,2.94282166768284e-12,2.67567161469696e-12,2.42726675670774e-12,2.94949805986935e-12
"Classic COVID symptoms","0.00516364483425803","0.00263323330923588","0.0101010344869731","0.00657124066282758","0.00268011944052946","0.0160209210767802",0.00369576732359387,0.00160850198068911,0.00846858874283975,0.0116865276517697,0.00659503046869922,0.0206271456486731
"Other symptoms","0.00129583868223531","0.000744115481775537","0.0022557127013614","0.00153799483736038","0.000757844625341081","0.00311875076004637",0.000481185001346347,0.00010142864842759,0.00227953574031776,0.00110378238620045,0.000612263327656595,0.00198910282122397
"No symptoms","0.00134748432997653","0.00104401404950774","0.00173901270773909","0.000828667292857252","0.000643821924908579","0.00106652630384428",0.000278387340071517,0.000178994732532754,0.000432947004718068,0.000848634571826294,0.000639340005659087,0.00112636665772812
"1","0.00201677729517146","0.00116919138386559","0.00347666784588373","0.00142674030298414","0.000843029115189331","0.00241363529542176",0.000764541720718229,0.0003883848242233,0.0015044642604056,0.00198771399740046,0.00129634610146927,0.00304667770476822
"2","0.0020809281086907","0.00136605217107676","0.00316872247047977","0.00064413695082566","0.000334095913127169","0.00124153876706975",0.000227864042789545,9.86550044343303e-05,0.000526209859971242,0.00138767841957675,0.000707718278107309,0.00271915164126566
"3","0.00160237802666067","0.00111819950064881","0.00229572321631591","0.000788800501972364","0.000500645082125285","0.00124260284325444",0.000425926565775601,0.000215248476696124,0.000842635606844028,0.000821668363532074,0.000476436692760471,0.00141670442184053
"4","0.00105523495400219","0.000681139001213157","0.00163445627357431","0.00101677465369114","0.000666244027067377","0.0015514434633232",0.000306842824070396,0.000150322987990401,0.000626232726601428,0.00100631627789784,0.000635192020126495,0.00159393182248982
"5","0.00112993385322841","0.000748790599019674","0.00170475254237566","0.00060994929292357","0.000396865426188725","0.000937334267688662",0.000301371481774412,0.000172703031891201,0.00052585100426747,0.00113768369234091,0.000790901251786698,0.00163626906721551
