round,region,age_group_char,prevalence,lower,upper
Round 2,North East,13-17,2.74E-12,2.42E-12,3.12E-12
Round 2,North West,13-17,2.70E-12,2.52E-12,2.90E-12
Round 2,Yorkshire and The Humber,13-17,2.62E-12,2.37E-12,2.89E-12
Round 2,East Midlands,13-17,2.78E-12,2.61E-12,2.97E-12
Round 2,West Midlands,13-17,0.003095121,0.00088126,0.010810369
Round 2,East of England,13-17,2.82E-12,2.66E-12,2.98E-12
Round 2,London,13-17,0.000968368,0.000136012,0.006859566
Round 2,South West,13-17,2.70E-12,2.49E-12,2.92E-12
Round 2,South East,18-24,0.000867798,0.000216325,0.003474392
Round 2,North East,18-24,2.75E-12,2.41E-12,3.13E-12
Round 2,North West,18-24,0.002630925,0.000369848,0.018459913
Round 2,Yorkshire and The Humber,18-24,2.62E-12,2.35E-12,2.92E-12
Round 2,East Midlands,18-24,2.76E-12,2.56E-12,2.97E-12
Round 2,West Midlands,18-24,2.71E-12,2.42E-12,3.03E-12
Round 2,East of England,18-24,0.001236376,0.000173758,0.008740626
Round 2,London,18-24,2.81E-12,2.62E-12,3.02E-12
Round 2,South West,18-24,2.67E-12,2.44E-12,2.93E-12
Round 2,South East,25-34,0.000959435,0.000238114,0.003857426
Round 2,North East,25-34,2.75E-12,2.53E-12,3.00E-12
Round 2,North West,25-34,0.003132487,0.000506489,0.01911317
Round 2,Yorkshire and The Humber,25-34,0.002327027,0.000326847,0.01636715
Round 2,East Midlands,25-34,0.000337133,4.74E-05,0.002392882
Round 2,West Midlands,25-34,0.001088292,0.000152948,0.007699643
Round 2,East of England,25-34,0.000781379,0.000185958,0.003277028
Round 2,London,25-34,0.002352926,0.001031075,0.005360312
Round 2,South West,25-34,0.0004801,0.000117129,0.001965679
Round 2,South East,45-54,0.000611687,0.000222126,0.001683303
Round 2,North East,45-54,0.002454659,0.000345041,0.017240273
Round 2,North West,45-54,0.000720494,0.000227617,0.002278207
Round 2,Yorkshire and The Humber,45-54,0.000411835,5.79E-05,0.002923125
Round 2,East Midlands,45-54,0.000862267,0.000341471,0.002175632
Round 2,West Midlands,45-54,0.000290532,4.09E-05,0.002062543
Round 2,East of England,45-54,0.000651148,0.000209224,0.002024614
Round 2,London,45-54,0.000671666,0.000167834,0.002683926
Round 2,South West,45-54,2.69E-12,2.57E-12,2.82E-12
Round 2,South East,55-64,0.000520118,0.000163446,0.001653838
Round 2,North East,55-64,2.75E-12,2.58E-12,2.92E-12
Round 2,North West,55-64,0.002936604,0.001131249,0.007601196
Round 2,Yorkshire and The Humber,55-64,0.001848257,0.000577838,0.005895304
Round 2,East Midlands,55-64,0.000705895,0.000242412,0.002053719
Round 2,West Midlands,55-64,0.000383869,9.55E-05,0.001541879
Round 2,East of England,55-64,0.001612293,0.000707756,0.003668614
Round 2,London,55-64,0.000763537,0.0001905,0.003055039
Round 2,South West,55-64,0.001774355,0.000531137,0.005910334
Round 2,South East,65+,0.000430521,0.000137724,0.001344963
Round 2,North East,65+,2.72E-12,2.58E-12,2.88E-12
Round 2,North West,65+,0.000852153,0.000212119,0.003416775
Round 2,Yorkshire and The Humber,65+,0.000791312,0.000111352,0.005600153
Round 2,East Midlands,65+,0.001130886,0.000274077,0.004653756
Round 2,West Midlands,65+,0.000118655,1.67E-05,0.000842737
Round 2,East of England,65+,0.000630648,0.000180147,0.002205254
Round 2,London,65+,0.001952668,0.000754924,0.00504114
Round 2,South West,65+,0.001842639,0.00062563,0.005414212
Round 3,South East,35-44,0.000291409,4.10E-05,0.002066698
Round 3,North East,35-44,2.72E-12,2.51E-12,2.96E-12
Round 3,North West,35-44,0.001653066,0.000354224,0.007677825
Round 3,Yorkshire and The Humber,35-44,0.002083601,0.000292882,0.014662454
Round 3,East Midlands,35-44,0.000472293,6.64E-05,0.003348975
Round 3,West Midlands,35-44,0.000434525,6.11E-05,0.003084601
Round 3,East of England,35-44,0.000288883,4.07E-05,0.002049729
Round 3,London,35-44,0.000545225,7.67E-05,0.003863138
Round 3,South West,35-44,2.68E-12,2.53E-12,2.84E-12
Round 3,South East,05-Dec,0.000366046,5.15E-05,0.002596362
Round 3,North East,05-Dec,2.73E-12,2.42E-12,3.08E-12
Round 3,North West,05-Dec,2.69E-12,2.52E-12,2.87E-12
Round 3,Yorkshire and The Humber,05-Dec,0.001523348,0.000213662,0.010774519
Round 3,East Midlands,05-Dec,2.79E-12,2.62E-12,2.96E-12
Round 3,West Midlands,05-Dec,2.68E-12,2.43E-12,2.96E-12
Round 3,East of England,05-Dec,2.82E-12,2.68E-12,2.96E-12
Round 3,London,05-Dec,2.82E-12,2.65E-12,2.99E-12
Round 3,South West,05-Dec,2.69E-12,2.49E-12,2.90E-12
Round 3,South East,13-17,2.83E-12,2.70E-12,2.96E-12
Round 3,North East,13-17,2.74E-12,2.40E-12,3.13E-12
Round 3,North West,13-17,2.68E-12,2.49E-12,2.88E-12
Round 3,Yorkshire and The Humber,13-17,2.63E-12,2.38E-12,2.91E-12
Round 3,East Midlands,13-17,0.00495392,0.001361659,0.017853679
Round 3,West Midlands,13-17,2.67E-12,2.40E-12,2.99E-12
Round 3,East of England,13-17,0.000707544,9.95E-05,0.005014515
Round 3,London,13-17,0.003120218,0.000653627,0.014757528
Round 3,South West,13-17,2.68E-12,2.46E-12,2.91E-12
Round 3,South East,18-24,0.000489218,6.88E-05,0.003470653
Round 3,North East,18-24,2.74E-12,2.39E-12,3.14E-12
Round 3,North West,18-24,0.001731241,0.000243054,0.012220043
Round 3,Yorkshire and The Humber,18-24,2.60E-12,2.30E-12,2.92E-12
Round 3,East Midlands,18-24,0.002513738,0.000626796,0.010024257
Round 3,West Midlands,18-24,2.69E-12,2.43E-12,2.97E-12
Round 3,East of England,18-24,0.001101393,0.000251692,0.004805849
Round 3,London,18-24,2.82E-12,2.62E-12,3.03E-12
Round 3,South West,18-24,2.68E-12,2.44E-12,2.94E-12
Round 3,South East,25-34,2.81E-12,2.70E-12,2.91E-12
Round 3,North East,25-34,2.73E-12,2.48E-12,3.00E-12
Round 3,North West,25-34,0.001207185,0.000230242,0.006303272
Round 3,Yorkshire and The Humber,25-34,0.001058134,0.000148533,0.007496259
Round 3,East Midlands,25-34,0.000380017,5.34E-05,0.00269736
Round 3,West Midlands,25-34,2.64E-12,2.45E-12,2.86E-12
Round 3,East of England,25-34,2.81E-12,2.68E-12,2.94E-12
Round 3,London,25-34,0.001062355,0.000330872,0.003405472
Round 3,South West,25-34,0.000510407,7.17E-05,0.003623116
Round 3,South East,45-54,2.83E-12,2.76E-12,2.90E-12
Round 3,North East,45-54,2.74E-12,2.56E-12,2.94E-12
Round 3,North West,45-54,0.00067277,9.47E-05,0.004762688
Round 3,Yorkshire and The Humber,45-54,2.63E-12,2.49E-12,2.78E-12
Round 3,East Midlands,45-54,0.000188107,2.65E-05,0.001335299
Round 3,West Midlands,45-54,2.71E-12,2.57E-12,2.86E-12
Round 3,East of England,45-54,2.83E-12,2.74E-12,2.92E-12
Round 3,London,45-54,0.000422323,5.94E-05,0.002994982
Round 3,South West,45-54,2.69E-12,2.57E-12,2.82E-12
Round 3,South East,55-64,9.86E-05,1.39E-05,0.000700167
Round 3,North East,55-64,2.73E-12,2.57E-12,2.91E-12
Round 3,North West,55-64,0.000194778,2.74E-05,0.001382525
Round 3,Yorkshire and The Humber,55-64,0.000340628,8.49E-05,0.001364808
Round 3,East Midlands,55-64,2.80E-12,2.71E-12,2.89E-12
Round 3,West Midlands,55-64,2.72E-12,2.59E-12,2.85E-12
Round 3,East of England,55-64,2.83E-12,2.75E-12,2.91E-12
Round 3,London,55-64,2.84E-12,2.73E-12,2.96E-12
Round 3,South West,55-64,0.000268053,5.88E-05,0.001221789
Round 3,South East,65+,0.000306812,9.77E-05,0.000962706
Round 3,North East,65+,0.000213732,3.00E-05,0.001518756
Round 3,North West,65+,0.000364156,0.000113301,0.001169765
Round 3,Yorkshire and The Humber,65+,0.000402743,5.67E-05,0.002856439
Round 3,East Midlands,65+,0.000136674,1.92E-05,0.000970142
Round 3,West Midlands,65+,0.001056198,0.000313538,0.003551705
Round 3,East of England,65+,0.00035699,7.30E-05,0.001744882
Round 3,London,65+,2.83E-12,2.72E-12,2.94E-12
Round 3,South West,65+,2.66E-12,2.58E-12,2.75E-12
Round 4,South East,35-44,0.000313623,7.80E-05,0.001259425
Round 4,North East,35-44,0.002006712,0.000463311,0.00864708
Round 4,North West,35-44,0.004404118,0.001581711,0.012201286
Round 4,Yorkshire and The Humber,35-44,0.002238596,0.000553424,0.009008854
Round 4,East Midlands,35-44,0.000998918,0.00022697,0.004384821
Round 4,West Midlands,35-44,0.001315709,0.000185043,0.009290855
Round 4,East of England,35-44,0.001730048,0.000708907,0.004215883
Round 4,London,35-44,0.002088314,0.000885584,0.004916456
Round 4,South West,35-44,0.001508925,0.000212284,0.010641243
Round 4,South East,05-Dec,2.83E-12,2.72E-12,2.94E-12
Round 4,North East,05-Dec,2.73E-12,2.43E-12,3.07E-12
Round 4,North West,05-Dec,0.005318405,0.001944637,0.01446055
Round 4,Yorkshire and The Humber,05-Dec,2.63E-12,2.40E-12,2.88E-12
Round 4,East Midlands,05-Dec,0.000573188,8.05E-05,0.004066767
Round 4,West Midlands,05-Dec,0.000908525,0.000127511,0.006442501
Round 4,East of England,05-Dec,0.000407099,5.72E-05,0.002889034
Round 4,London,05-Dec,0.00236284,0.000835996,0.006659686
Round 4,South West,05-Dec,2.69E-12,2.49E-12,2.89E-12
Round 4,South East,13-17,0.000625871,8.80E-05,0.004434356
Round 4,North East,13-17,2.75E-12,2.40E-12,3.15E-12
Round 4,North West,13-17,2.69E-12,2.49E-12,2.91E-12
Round 4,Yorkshire and The Humber,13-17,0.002111438,0.00044556,0.009943817
Round 4,East Midlands,13-17,0.001131873,0.000159009,0.008009315
Round 4,West Midlands,13-17,0.001818197,0.000254964,0.012842774
Round 4,East of England,13-17,2.81E-12,2.65E-12,2.98E-12
Round 4,London,13-17,0.000607634,8.53E-05,0.004316184
Round 4,South West,13-17,2.68E-12,2.46E-12,2.93E-12
Round 4,South East,18-24,2.81E-12,2.66E-12,2.97E-12
Round 4,North East,18-24,0.005676526,0.000791127,0.03953673
Round 4,North West,18-24,0.011689359,0.004099487,0.032867515
Round 4,Yorkshire and The Humber,18-24,0.009725101,0.001365595,0.065881485
Round 4,East Midlands,18-24,0.001350058,0.000189433,0.0095537
Round 4,West Midlands,18-24,2.67E-12,2.36E-12,3.02E-12
Round 4,East of England,18-24,0.002656003,0.000804552,0.008730821
Round 4,London,18-24,0.005800483,0.001793031,0.018597772
Round 4,South West,18-24,0.003082339,0.000766652,0.012306461
Round 4,South East,25-34,0.001140076,0.000314974,0.004117697
Round 4,North East,25-34,0.001599898,0.000224181,0.011322295
Round 4,North West,25-34,0.001558605,0.00037606,0.006435804
Round 4,Yorkshire and The Humber,25-34,0.004128698,0.001138278,0.014858522
Round 4,East Midlands,25-34,0.002143417,0.000782254,0.005859186
Round 4,West Midlands,25-34,0.00190822,0.000268226,0.013440723
Round 4,East of England,25-34,0.001465876,0.00042339,0.005062218
Round 4,London,25-34,0.000741087,0.000104274,0.005246611
Round 4,South West,25-34,0.002402419,0.000337867,0.016869615
Round 4,South East,45-54,0.001033414,0.000418237,0.002551135
Round 4,North East,45-54,0.00350956,0.000815677,0.014967079
Round 4,North West,45-54,0.001468672,0.00053444,0.004029415
Round 4,Yorkshire and The Humber,45-54,0.001800464,0.000439011,0.007352965
Round 4,East Midlands,45-54,0.000206144,2.90E-05,0.001463316
Round 4,West Midlands,45-54,0.000546645,0.000122876,0.002428344
Round 4,East of England,45-54,0.000223065,3.14E-05,0.001582975
Round 4,London,45-54,2.83E-12,2.73E-12,2.94E-12
Round 4,South West,45-54,0.000346134,4.87E-05,0.002456131
Round 4,South East,55-64,0.000889737,0.00036595,0.002161601
Round 4,North East,55-64,0.000429447,6.03E-05,0.003050131
Round 4,North West,55-64,0.001251537,0.000439613,0.003557672
Round 4,Yorkshire and The Humber,55-64,0.002281409,0.000732117,0.007086039
Round 4,East Midlands,55-64,2.80E-12,2.71E-12,2.90E-12
Round 4,West Midlands,55-64,0.000585843,0.000161958,0.002116798
Round 4,East of England,55-64,0.000677594,0.000158389,0.002893839
Round 4,London,55-64,2.84E-12,2.72E-12,2.95E-12
Round 4,South West,55-64,0.000439786,0.000109574,0.001763368
Round 4,South East,65+,0.0003426,0.000107586,0.001090427
Round 4,North East,65+,0.000868899,0.000214051,0.003520074
Round 4,North West,65+,0.000333086,0.000100823,0.001099822
Round 4,Yorkshire and The Humber,65+,0.000424756,0.000123827,0.001455952
Round 4,East Midlands,65+,2.78E-12,2.70E-12,2.86E-12
Round 4,West Midlands,65+,0.000131508,1.85E-05,0.000933834
Round 4,East of England,65+,0.000672588,0.000164724,0.002741968
Round 4,London,65+,2.81E-12,2.70E-12,2.93E-12
Round 4,South West,65+,0.000486008,0.000128583,0.001835145
