,North.West,North.East,South.West,South.East,London,East.Midlands,West.Midlands,Yokrshire.and.The.Humber,East.of.England
2021-10-20,4.305259197,0,9.051307027,8.497890353,6.118647214,12.86877068,12.86502436,3.800093956,6.587525617
2021-10-21,6.396105295,8.998744306,9.715063773,16.45289399,11.36937518,8.249529573,5.552601845,10.18337888,12.06000346
2021-10-22,12.82680933,2.824126359,19.60441118,22.15943836,7.817155655,8.66505997,6.120352541,9.486737575,7.866274709
2021-10-23,9.753829615,3.170722278,14.97627805,18.64804942,6.576738932,8.077061622,6.195682168,6.007178326,15.2229699
2021-10-24,3.497812411,3.108929774,5.316678653,7.060063541,7.438117273,4.609723543,2.296074558,0,5.91346214
2021-10-25,35.42204749,11.14291045,31.35719852,32.51802098,16.27014063,16.26966033,22.64698783,18.26636643,18.77246029
2021-10-26,22.72932664,10.5981324,17.77949775,23.49449286,15.49145134,10.69609871,12.50943381,15.17849011,17.06034521
2021-10-27,16.63803532,4.991075038,18.99893151,25.08289807,17.9928895,4.727463783,17.36840459,13.64685115,15.46944625
2021-10-28,14.48776262,6.048051023,8.089458838,25.44706013,11.82159864,9.994610772,18.33890091,9.489728062,6.790597764
2021-10-29,20.36139242,4.701071838,12.507542,18.21522422,14.71240899,12.80644225,6.059425146,9.767483353,11.56628604
2021-10-30,9.350410962,2.569074721,4.719432953,8.828612801,11.0799189,0.550989575,7.915311289,5.921283674,10.81880563
2021-10-31,4.315462977,0,3.253328669,4.949958891,5.372555451,4.226551406,1.516424247,1.633790063,1.343793974
2021-11-01,14.94064219,7.22664262,10.00225168,18.73561123,18.97255208,11.8897069,15.6359605,4.049582639,14.93445027
2021-11-02,8.610700061,3.232648821,13.27901478,12.83416976,14.18887032,2.011787337,9.183871843,8.475959844,11.07299688
2021-11-03,5.985334757,5.619805085,11.12019336,10.9733306,12.22071866,2.007736659,1.052117447,6.829191428,10.00675955
2021-11-04,0.540577738,1.329540298,3.056234872,2.333004649,0.627327126,0.646489999,3.417222418,1.994940163,0.612232415
2021-11-05,0,0,0,1.884045502,0,0,0,5.734184001,0.970270929
2021-11-06,0,0,0,0,0,0,0,0,0
2021-11-07,0,0,0,0,0,0,0,0,0
2021-11-08,0,0,0,0,0,0,0,0,0
2021-11-23,0.755272483,0.713680479,4.617955766,2.346247965,4.818576641,1.699762475,5.719432766,7.904386498,5.964380808
2021-11-24,1.969176472,3.875138586,9.617949709,12.70552257,5.164887422,11.91974846,2.68715359,4.872048047,7.323201685
2021-11-25,12.93713547,5.158451649,11.72275762,14.16198586,12.23012149,9.899413933,7.347303986,8.749606228,7.159287292
2021-11-26,6.654464743,1.739712407,6.566476938,18.00495213,5.711660329,13.57520079,2.942390257,9.159966837,1.874427684
2021-11-27,4.980355876,1.955946959,4.969831227,12.44685051,14.72351566,9.016173667,2.371325986,4.796802015,3.400214678
2021-11-28,2.111202739,0,3.112711538,1.99572367,9.044934981,2.123201837,0,4.862803871,6.510522918
2021-11-29,12.79334912,2.758425752,15.29078957,28.5711662,17.41972474,8.198779695,6.287995667,9.784594816,13.79584287
2021-11-30,15.54102037,7.333697182,27.20272044,23.60610863,16.97967982,11.97615958,8.308757556,11.90197247,18.82800008
2021-12-01,10.35050874,1.601480567,13.59082636,13.7928187,11.37087662,5.256755534,5.435470817,8.824310863,8.096201623
2021-12-02,5.721232574,0,8.810116468,12.7895466,15.60306079,9.625384876,11.29133684,6.24988915,6.083476466
2021-12-03,3.096508501,3.635829982,1.866757774,13.83417896,14.31564245,7.804559312,5.6727985,2.338688235,3.098906855
2021-12-04,7.352986157,0,1.312277108,6.762464126,8.417857814,0,4.977932626,0.99306328,0.794705611
2021-12-05,2.861430846,0.53930957,4.66237809,3.947757625,8.170781792,2.805238748,1.676870697,3.288802208,3.124777935
2021-12-06,12.12768309,0,6.796557327,6.061104411,13.33501848,6.097759033,8.719868024,2.426920521,6.374295493
2021-12-07,1.484248502,2.058005606,9.667495739,12.48732848,8.767252335,7.950551261,3.577020152,5.750462005,2.97247689
2021-12-08,1.636759902,2.655741043,6.202706961,12.55657746,1.69488468,3.162795754,4.043152218,8.201819536,11.64454214
2021-12-09,2.013723597,0,1.982248784,4.072414584,10.13415411,5.77566313,0.680624758,1.656110489,8.338219267
2021-12-10,1.814251679,0.652944758,4.335232421,1.46848681,15.11782097,0.824061779,5.227824066,6.255961686,0
2021-12-11,2.968512428,0.913023695,2.862606171,4.708104967,7.027769471,3.02147991,0.673223211,1.086875506,0
2021-12-12,0.84935611,0,0.865502866,2.337421819,9.894665703,6.794281302,0.465978588,0.959764746,0
2021-12-13,2.347421176,2.38958832,1.893466699,18.61243023,19.19057584,6.162599412,2.046548714,1.991573809,7.406478394
2021-12-14,1.997167329,1.308260475,1.532867708,4.297964423,22.35459588,0.785279846,4.607096527,0.712955612,1.02381683
2021-12-15,0,0,0,5.661503007,3.431025046,1.149855091,0,0,1.404771997
2021-12-16,2.84876361,0,0,0,0.882406589,0,0,0,0
2021-12-17,0,0,0,0,0.927906476,0,0,0,0
2022-01-05,27.5056768,5.818227782,11.34534169,23.71151754,30.5877969,6.975725009,25.41767672,27.44201518,10.20675504
2022-01-06,47.43945602,30.07692083,22.54190358,36.75344391,31.35609088,32.08446591,40.57661352,57.94067927,32.25685561
2022-01-07,41.76126128,24.56712841,25.84285923,44.01201717,48.14420622,31.17715774,37.42808178,39.30065816,36.83468111
2022-01-08,47.50945745,15.33990332,19.66984332,30.48691343,41.23273895,13.54505036,31.23317384,31.57583269,18.68812626
2022-01-09,22.69108609,8.691200432,10.04318371,16.35743263,30.62088635,8.167439089,13.17194729,23.48567712,10.30129782
2022-01-10,103.1585225,44.09969026,42.06507871,71.34673102,79.67314756,61.10320064,68.79884902,65.36684736,44.8648339
2022-01-11,64.31996905,30.4315346,24.05710162,52.72190926,63.88904841,42.05640215,41.83414818,53.70395066,41.86252635
2022-01-12,62.62427013,26.17261588,21.59925156,40.4689078,55.64617731,31.02659204,33.70395577,41.38144606,36.03242448
2022-01-13,45.78655778,23.6893509,25.97491272,47.1806365,49.49352494,26.64949002,47.94688054,37.32753138,21.55654797
2022-01-14,33.08791615,20.62594169,14.33317249,29.30156487,46.03200635,15.89404007,31.63088883,43.62572586,24.64389919
2022-01-15,26.1822985,4.867089736,14.25275836,27.55000941,35.84531758,16.3619452,18.9211456,14.24280848,11.94919109
2022-01-16,8.737583731,1.688603705,5.916707171,13.89490782,20.99023404,3.836110514,9.40833755,15.61037673,9.291503937
2022-01-17,46.57911727,27.65187078,18.32186766,36.74130045,52.36489493,16.52395662,42.6799932,25.69622166,36.87235954
2022-01-18,22.6215421,15.8684266,16.02874265,20.96711099,36.39679439,19.08766662,27.44947487,19.53249737,13.55103988
2022-01-19,13.86730528,5.702415258,16.03397915,16.06426709,37.03883069,6.749555215,21.90609198,10.25464058,17.25662813
2022-01-20,18.42578415,13.94700869,7.568266391,20.97313136,30.45275814,10.27398961,14.37536476,5.841676068,5.81438496
2022-01-21,3.705927629,4.893887572,1.437014945,5.840712214,8.00446914,2.441008099,7.21830497,1.398595615,3.628729826
2022-01-22,0.388543257,0,0,0,0.676026889,1.803724722,0,1.064228611,1.470927557
2022-01-23,0,0,0,0,0,0,0,0,0
2022-01-24,0,0,0,0,1.07017267,0,0,0,0
2022-02-08,7.297140825,3.581683906,3.35445012,10.73309268,12.05165459,7.992801596,19.6599007,6.633175171,19.38971954
2022-02-09,19.49798644,4.100394569,8.564800386,27.58065195,22.53585498,14.22047298,17.48242739,7.533842576,14.88677587
2022-02-10,19.6985115,2.287734375,20.83436657,34.68988361,17.86729021,15.10735955,17.6649349,13.09585046,13.77011097
2022-02-11,21.33607277,6.804227726,26.05736688,42.8911041,30.29784006,16.47144728,17.38042429,14.05434986,33.02770076
2022-02-12,18.78169506,8.310352168,29.85717987,34.14136432,33.28601952,15.51454181,8.762613854,11.55347793,18.17859182
2022-02-13,6.68310179,3.704237133,7.872146969,12.27705597,11.69954001,7.565568071,6.521099666,4.233604003,16.2742988
2022-02-14,38.18242298,17.25841555,36.63783934,59.24220193,60.4624803,35.74999104,30.11165808,29.23301025,31.252233
2022-02-15,13.69493527,11.68101853,27.11565156,55.25915768,33.56073126,10.13774588,23.76119982,31.02259669,25.41812972
2022-02-16,20.21134565,6.016103315,32.23784391,47.50123404,45.25998314,17.1944325,19.82560968,19.57500152,28.57277085
2022-02-17,21.11278483,5.733182875,17.94497606,38.24339671,34.67309436,10.59645555,23.70244894,17.1572625,15.88296
2022-02-18,10.58279242,3.616480999,10.86017973,17.70634012,15.92524245,8.260207171,12.66488443,9.715215532,6.391695474
2022-02-19,6.857026082,0,10.84853914,14.35490081,7.221362381,4.724214849,2.181937788,2.865852615,12.65114028
2022-02-20,10.49508682,2.439876132,5.322692977,11.18693388,13.51076574,3.429009633,2.627146818,4.770489517,3.686010431
2022-02-21,27.20992588,6.70877477,15.74149494,31.67103651,34.20283504,5.500721631,11.91080587,17.64644613,16.42177946
2022-02-22,13.78858379,3.036980349,11.23231643,19.58849893,14.89939983,4.521275363,4.893981452,4.699681897,11.42709303
2022-02-23,11.79268821,0,5.460777487,21.12341844,15.607706,9.585327291,3.251377263,8.985669542,10.25679113
2022-02-24,5.458543778,0.456278581,8.213279896,7.967129502,10.17508813,4.559234213,5.509546711,3.455979388,1.458162464
2022-02-25,10.04851171,2.340262402,8.026422064,12.68882582,10.68907242,2.339362339,5.917542611,0.742797164,2.615299801
2022-02-26,2.276136741,1.892972527,2.168566351,3.881323535,12.32273538,2.338939151,1.757723031,1.834090068,3.946085446
2022-02-27,0,1.067839662,1.53774961,4.442737139,4.745733291,3.15122698,5.084782867,0,5.187409362
2022-02-28,9.638086437,6.937852462,13.82207322,15.42646371,15.20312003,3.483638927,5.568779014,10.30872124,9.085914284
2022-03-01,4.69033604,2.819565779,1.625177638,4.736641037,6.764461149,1.906623155,3.031921286,2.762013512,5.856287666
2022-03-02,0.879444875,0,0,2.149239854,5.351083236,0,1.653522588,0,4.369548051
2022-03-03,1.219904558,0,0,0,1.08144492,0.847256436,0.827202765,0,0
2022-03-04,0,0,0,0,0,0,0,0,0
2022-03-08,12.92221419,5.222427828,9.153587968,23.13464312,13.882518,8.800877404,10.41183184,4.609205305,11.35732631
2022-03-09,22.48872911,4.293648549,18.67754217,29.27552029,23.66493507,22.51045404,12.45077131,14.41797768,22.61488662
2022-03-10,30.50729059,6.705681588,36.04749278,36.7254871,30.69608434,19.50076459,15.36741325,17.92682654,28.25514219
2022-03-11,21.66645844,10.10710158,31.8976824,43.97715631,42.08271315,26.19773341,17.04328882,22.12299598,30.57068049
2022-03-12,21.49591622,5.982205159,41.64555986,39.44115958,36.27255929,24.51972449,20.27533925,11.62446738,27.47686521
2022-03-13,13.13883598,5.716174733,22.86404149,23.14900851,28.82518266,17.79813272,13.37247163,18.02008203,11.58155593
2022-03-14,77.33283386,19.96073492,88.71892942,138.7182036,82.35763548,47.00898843,58.25601905,47.1049144,79.59787461
2022-03-15,55.39309827,21.76779985,86.75274394,103.412008,85.73009764,40.91366716,58.90414452,58.82897618,62.43737645
2022-03-16,75.58759887,29.11461203,92.62124065,124.2884762,108.8320468,45.27326177,48.8387839,58.57574663,99.91838074
2022-03-17,66.96342609,22.78606218,74.1896073,98.46627876,85.56594293,51.40245224,57.06984815,60.72461886,63.89415166
2022-03-18,60.32848233,16.6401734,52.24422389,85.62945666,78.26983273,43.07125656,29.196999,32.70787112,51.83277256
2022-03-19,21.86503351,13.17114043,30.40882222,31.38343443,43.27202693,21.15079653,25.12465729,22.59285922,35.63310448
2022-03-20,14.48060744,8.529056757,25.35051799,27.63794997,24.29672005,7.876645023,11.78889701,10.97992012,23.19410607
2022-03-21,60.05241786,17.65995125,81.81657994,95.40415962,83.77788676,42.22120608,45.77574058,45.46321866,84.1130508
2022-03-22,53.18276187,19.16441587,45.6370773,69.57484876,57.04724324,34.12850953,33.72017102,26.60566652,45.77315292
2022-03-23,40.52415935,11.2634685,32.00525527,44.72133503,26.4297473,23.02450167,27.44272135,43.42063753,32.37432595
2022-03-24,27.49134978,6.258251152,35.71649656,42.10683819,30.49953831,21.84019057,16.31858223,14.10570192,27.2313897
2022-03-25,13.15632528,13.53149984,20.99138309,39.40341635,30.96196698,14.36292536,16.09028963,17.62299181,22.37122666
2022-03-26,16.12771763,2.554773391,13.94417117,15.25090611,13.70527041,3.09338041,6.462723122,8.266764742,13.81241296
2022-03-27,8.1476507,0,6.297828388,4.205088528,9.525989539,3.304390378,8.274058789,3.848977477,7.903768821
2022-03-28,19.39510864,7.722285843,22.50507567,37.84373053,38.51224542,21.02501201,11.44827749,19.28877372,33.44766938
2022-03-29,25.0194896,4.062937368,22.08549082,31.82358583,18.5139662,11.24743749,19.88429631,28.54420841,22.64235119
2022-03-30,11.9657215,6.938369213,11.20255853,18.61048142,29.0204029,3.493691287,4.670821997,10.70191276,16.8572584
2022-03-31,8.836896322,3.326882196,8.42474298,7.201346193,9.182389166,6.111839562,7.239600412,2.796884003,9.609435153
2022-04-01,0,0,0,0,0,0,0,0,0
