"Variable","Category","Positive_r1","Total_r1","Prevalence_r1","Lower_r1","Upper_r1","Positive_r2","Total_r2","Prevalence_r2","Lower_r2","Upper_r2","Positive_r3","Total_r3","Prevalence_r3","Lower_r3","Upper_r3","Positive_r4","Total_r4","Prevalence_r4","Lower_r4","Upper_r4","Positive_r5","Total_r5","Prevalence_r5","Lower_r5","Upper_r5","Positive_r6","Total_r6","Prevalence_r6","Lower_r6","Upper_r6","Positive_r6a","Total_r6a","Prevalence_r6a","Lower_r6a","Upper_r6a","Positive_r6b","Total_r6b","Prevalence_r6b","Lower_r6b","Upper_r6b","Positive_r7","Total_r7","Prevalence_r7","Lower_r7","Upper_r7","Positive_r7a","Total_r7a","Prevalence_r7a","Lower_r7a","Upper_r7a","Positive_r7b","Total_r7b","Prevalence_r7b","Lower_r7b","Upper_r7b","Positive_r8","Total_r8","Prevalence_r8","Lower_r8","Upper_r8","Positive_r8a","Total_r8a","Prevalence_r8a","Lower_r8a","Upper_r8a","Positive_r8b","Total_r8b","Prevalence_r8b","Lower_r8b","Upper_r8b","Positive_all","Total_all","Prevalence_all","Lower_all","Upper_all"
"covidcon_char","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,23240,0.015663,0.014144,0.017341,267,16044,0.016642,0.014775,0.01874,97,7196,0.01348,0.011063,0.016416,728,46480,0.015663,0.014573,0.016832
"sympt_cat","Classic COVID symptoms",20,5814,0.00344,0.002228,0.005308,11,2898,0.003796,0.002121,0.006784,8,2806,0.002851,0.001445,0.005616,26,3832,0.006785,0.004635,0.009923,187,8376,0.022326,0.019374,0.025715,423,6284,0.067314,0.061379,0.073777,201,3379,0.059485,0.051999,0.067972,196,2646,0.074074,0.064701,0.084682,404,5280,0.076515,0.069649,0.083997,279,3514,0.079397,0.07091,0.088802,125,1766,0.070781,0.059729,0.083697,822,6475,0.12695,0.119061,0.135281,737,5619,0.131162,0.122587,0.140241,85,856,0.099299,0.08102,0.121159,3127,53520,0.058427,0.056471,0.060446
"sympt_cat","Other symptoms",19,14633,0.001298,0.000831,0.002027,10,10108,0.000989,0.000537,0.00182,3,10819,0.000277,9.4e-05,0.000815,14,13660,0.001025,0.000611,0.00172,146,25832,0.005652,0.004808,0.006642,266,20739,0.012826,0.011382,0.01445,119,11430,0.010411,0.008708,0.012443,138,8623,0.016004,0.013562,0.018876,220,18185,0.012098,0.010609,0.013793,148,12086,0.012246,0.010434,0.014367,72,6099,0.011805,0.009385,0.01484,350,19609,0.017849,0.016088,0.019799,309,17251,0.017912,0.016037,0.020001,41,2358,0.017388,0.012843,0.023502,1598,171379,0.009324,0.00888,0.009791
"sympt_cat","No symptoms",87,72678,0.001197,0.000971,0.001476,90,118740,0.000758,0.000617,0.000931,30,121229,0.000247,0.000173,0.000353,76,111136,0.000684,0.000546,0.000856,344,108910,0.003159,0.002842,0.00351,798,106439,0.007497,0.006997,0.008034,380,55744,0.006817,0.006167,0.007535,377,45716,0.008247,0.007458,0.009118,476,116449,0.004088,0.003737,0.004471,304,77230,0.003936,0.003519,0.004403,172,39219,0.004386,0.003778,0.00509,747,118401,0.006309,0.005874,0.006776,662,104608,0.006328,0.005866,0.006827,85,13793,0.006163,0.004987,0.007613,3871,1108832,0.003491,0.003383,0.003603
"sympt_cat","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,23157,0.015676,0.014154,0.017358,266,15975,0.016651,0.01478,0.018755,97,7182,0.013506,0.011085,0.016448,726,46314,0.015676,0.014584,0.016848
"imd_quintile","1",21,12892,0.001629,0.001066,0.002489,20,16622,0.001203,0.000779,0.001858,10,16525,0.000605,0.000329,0.001114,30,15106,0.001986,0.001392,0.002834,135,17641,0.007653,0.00647,0.00905,254,15736,0.016141,0.014287,0.018232,119,7917,0.015031,0.012576,0.017956,135,7819,0.017266,0.014606,0.020399,198,15951,0.012413,0.010808,0.014252,126,9517,0.013239,0.011132,0.01574,72,6434,0.011191,0.008896,0.014068,257,15190,0.016919,0.014987,0.019095,219,12697,0.017248,0.015125,0.019663,38,2493,0.015243,0.011125,0.020852,1380,156804,0.008801,0.00835,0.009275
"imd_quintile","2",33,19130,0.001725,0.001229,0.002422,14,25891,0.000541,0.000322,0.000908,7,26115,0.000268,0.00013,0.000553,14,24428,0.000573,0.000341,0.000962,129,27483,0.004694,0.003952,0.005574,289,24957,0.01158,0.010326,0.012984,143,12748,0.011217,0.009531,0.013199,146,12209,0.011958,0.010178,0.014046,238,26259,0.009064,0.007987,0.010284,145,15851,0.009148,0.00778,0.010753,93,10408,0.008935,0.0073,0.010933,449,26012,0.017261,0.015748,0.018917,375,21837,0.017173,0.015533,0.018983,74,4175,0.017725,0.014143,0.022193,1860,252546,0.007365,0.007039,0.007706
"imd_quintile","3",39,25686,0.001518,0.001111,0.002075,27,34081,0.000792,0.000545,0.001152,11,35346,0.000311,0.000174,0.000557,22,33321,0.00066,0.000436,0.001,146,37427,0.003901,0.003318,0.004585,354,34379,0.010297,0.009283,0.01142,176,18291,0.009622,0.008307,0.011143,178,16088,0.011064,0.00956,0.012801,269,35975,0.007477,0.006638,0.008422,170,22370,0.007599,0.006543,0.008825,99,13605,0.007277,0.005981,0.008851,479,36061,0.013283,0.012152,0.014518,414,30637,0.013513,0.01228,0.014868,65,5424,0.011984,0.009414,0.015244,2095,344312,0.006085,0.00583,0.00635
"imd_quintile","4",31,29328,0.001057,0.000745,0.0015,34,38867,0.000875,0.000626,0.001222,11,39923,0.000276,0.000154,0.000493,34,38216,0.00089,0.000637,0.001243,190,43109,0.004407,0.003825,0.005078,407,39792,0.010228,0.009286,0.011265,199,21749,0.00915,0.007968,0.010505,208,18043,0.011528,0.010071,0.013193,293,42350,0.006919,0.006173,0.007754,184,26901,0.00684,0.005923,0.007898,109,15449,0.007055,0.005853,0.008503,540,42002,0.012857,0.011823,0.013979,471,36149,0.013029,0.011911,0.014251,69,5853,0.011789,0.009326,0.014892,2373,397939,0.005963,0.005729,0.006207
"imd_quintile","5",35,33582,0.001042,0.00075,0.001449,28,43738,0.00064,0.000443,0.000925,15,44912,0.000334,0.000202,0.000551,37,43336,0.000854,0.00062,0.001177,224,49289,0.004545,0.003988,0.005178,428,45311,0.009446,0.008596,0.010379,226,25260,0.008947,0.007858,0.010185,202,20051,0.010074,0.008783,0.011553,301,47646,0.006317,0.005645,0.00707,196,30483,0.00643,0.005593,0.007391,105,17163,0.006118,0.005057,0.0074,557,48377,0.011514,0.010601,0.012504,495,42133,0.011749,0.010763,0.012823,62,6244,0.00993,0.007754,0.012708,2483,452214,0.005491,0.00528,0.00571
"vacc_status","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1638,125054,0.013098,0.012483,0.013744,1454,111085,0.013089,0.012437,0.013774,184,13969,0.013172,0.011411,0.015201,3276,250108,0.013098,0.01266,0.013551
"vacc_status","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,3755,0.010386,0.007607,0.014166,33,3101,0.010642,0.007588,0.014907,6,654,0.009174,0.004211,0.01987,78,7510,0.010386,0.008331,0.012942
