Variable,Category,Positive_r8,Total_r8,Prevalence_r8,Lower_r8,Upper_r8,Positive_r9,Total_r9,Prevalence_r9,Lower_r9,Upper_r9,Positive_r9a,Total_r9a,Prevalence_r9a,Lower_r9a,Upper_r9a,Positive_r9b,Total_r9b,Prevalence_r9b,Lower_r9b,Upper_r9b
worktyp2_2_char,WT2_2 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_2_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_10_char,No,1957,150372,0.013014,0.012454,0.0136,581,145588,0.003991,0.00368,0.004328,326,77468,0.004208,0.003776,0.004689,255,68120,0.003743,0.003312,0.004231
worktyp2_10_char,Yes,58,3127,0.018548,0.014376,0.023902,9,2016,0.004464,0.00235,0.008463,4,1029,0.003887,0.001513,0.009952,5,987,0.005066,0.002166,0.011804
worktyp2_10_char,WT2_10 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_10_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_11_char,No,1998,151998,0.013145,0.012585,0.01373,588,146632,0.00401,0.003699,0.004347,329,77973,0.004219,0.003788,0.004699,259,68659,0.003772,0.003341,0.004259
worktyp2_11_char,Yes,17,1501,0.011326,0.007083,0.018063,2,972,0.002058,0.000564,0.007471,1,524,0.001908,0.000337,0.01073,1,448,0.002232,0.000394,0.012534
worktyp2_11_char,WT2_11 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_11_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_3_char,No,1984,152134,0.013041,0.012483,0.013624,581,146221,0.003973,0.003664,0.004309,323,77806,0.004151,0.003723,0.004628,258,68415,0.003771,0.003339,0.004259
worktyp2_3_char,Yes,31,1365,0.022711,0.016045,0.032055,9,1383,0.006508,0.003427,0.012322,7,691,0.01013,0.004916,0.020761,2,692,0.00289,0.000793,0.010476
worktyp2_3_char,WT2_3 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_3_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_4_char,No,1973,152277,0.012957,0.012401,0.013537,578,146467,0.003946,0.003638,0.004281,326,77935,0.004183,0.003754,0.004661,252,68532,0.003677,0.003251,0.004159
worktyp2_4_char,Yes,42,1222,0.03437,0.025527,0.046131,12,1137,0.010554,0.006048,0.018357,4,562,0.007117,0.002771,0.018156,8,575,0.013913,0.007066,0.027211
worktyp2_4_char,WT2_4 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_4_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_5_char,No,1811,141182,0.012827,0.012254,0.013428,538,139192,0.003865,0.003553,0.004205,302,74847,0.004035,0.003606,0.004515,236,64345,0.003668,0.003229,0.004165
worktyp2_5_char,Yes,204,12317,0.016562,0.014455,0.018972,52,8412,0.006182,0.004717,0.008097,28,3650,0.007671,0.005313,0.011065,24,4762,0.00504,0.003389,0.007489
worktyp2_5_char,WT2_5 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_5_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_12_char,No,NA,NA,NA,NA,NA,588,146778,0.004006,0.003696,0.004342,328,78089,0.0042,0.00377,0.004679,260,68689,0.003785,0.003353,0.004273
worktyp2_12_char,Yes,NA,NA,NA,NA,NA,2,826,0.002421,0.000664,0.008785,2,408,0.004902,0.001345,0.017695,0,418,0,0,0.006431
worktyp2_12_char,WT2_12 - NA,NA,NA,NA,NA,NA,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_12_char,WT2_No,NA,NA,NA,NA,NA,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_6_char,No,2010,153285,0.013113,0.012555,0.013695,588,147398,0.003989,0.00368,0.004324,328,78410,0.004183,0.003755,0.00466,260,68988,0.003769,0.003338,0.004254
worktyp2_6_char,Yes,5,214,0.023364,0.01002,0.053519,2,206,0.009709,0.002667,0.034702,2,87,0.022989,0.006327,0.079993,0,119,0,0,0.02223
worktyp2_6_char,WT2_6 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_6_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_7_char,No,1793,139688,0.012836,0.012259,0.01344,529,135827,0.003895,0.003577,0.00424,304,73302,0.004147,0.003707,0.004639,225,62525,0.003599,0.003159,0.004099
worktyp2_7_char,Yes,222,13811,0.016074,0.014107,0.01831,61,11777,0.00518,0.004035,0.006647,26,5195,0.005005,0.003418,0.007323,35,6582,0.005318,0.003826,0.007386
worktyp2_7_char,WT2_7 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_7_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_8_char,No,1686,131481,0.012823,0.012229,0.013446,481,129247,0.003722,0.003404,0.004069,275,70603,0.003895,0.003462,0.004382,206,58644,0.003513,0.003065,0.004025
worktyp2_8_char,Yes,329,22018,0.014942,0.013422,0.016632,109,18357,0.005938,0.004925,0.007157,55,7894,0.006967,0.005357,0.009057,54,10463,0.005161,0.003958,0.006727
worktyp2_8_char,WT2_8 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_8_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
worktyp2_9_char,No,1035,61457,0.016841,0.015854,0.017889,281,50148,0.005603,0.004987,0.006296,143,22509,0.006353,0.005396,0.007479,138,27639,0.004993,0.004228,0.005895
worktyp2_9_char,Yes,980,92042,0.010647,0.010004,0.011331,309,97456,0.003171,0.002837,0.003544,187,55988,0.00334,0.002895,0.003853,122,41468,0.002942,0.002465,0.003511
worktyp2_9_char,WT2_9 - NA,92,5389,0.017072,0.013941,0.02089,41,8292,0.004945,0.003647,0.0067,23,4965,0.004632,0.003089,0.006942,18,3327,0.00541,0.003425,0.008536
worktyp2_9_char,WT2_No,175,8754,0.019991,0.017262,0.02314,58,9560,0.006067,0.004696,0.007834,35,3947,0.008867,0.006383,0.012307,23,5613,0.004098,0.002732,0.006141
ethnic19_char,English/Welsh/Scottish/Northern Irish/British,1752,142570,0.012289,0.01173,0.012874,524,140193,0.003738,0.003432,0.004071,317,76418,0.004148,0.003717,0.00463,207,63775,0.003246,0.002833,0.003718
ethnic19_char,Irish,30,1558,0.019255,0.013521,0.027355,6,1428,0.004202,0.001927,0.009137,5,772,0.006477,0.00277,0.015071,1,656,0.001524,0.000269,0.008584
ethnic19_char,Gypsy or Irish Traveller,0,42,0,0,0.060519,0,37,0,0,0.06814,0,20,0,0,0.119158,0,17,0,0,0.137299
ethnic19_char,Other white background,156,7941,0.019645,0.016817,0.022938,66,8201,0.008048,0.006331,0.010225,35,3773,0.009276,0.006678,0.012873,31,4428,0.007001,0.004937,0.00992
ethnic19_char,Indian,69,3183,0.021678,0.017165,0.027343,26,3119,0.008336,0.005695,0.012187,8,1205,0.006639,0.003368,0.013046,18,1914,0.009404,0.005957,0.014817
ethnic19_char,Pakistani,19,728,0.026099,0.016771,0.040402,11,818,0.013447,0.007525,0.023918,6,301,0.019934,0.009167,0.042799,5,517,0.009671,0.004138,0.022437
ethnic19_char,Bangladeshi,20,327,0.061162,0.039938,0.092577,3,351,0.008547,0.002911,0.024824,1,124,0.008065,0.001425,0.044268,2,227,0.008811,0.00242,0.03155
ethnic19_char,Chinese,9,811,0.011097,0.005849,0.020955,1,748,0.001337,0.000236,0.007534,1,329,0.00304,0.000537,0.017014,0,419,0,0,0.006416
ethnic19_char,Other Asian background,46,1488,0.030914,0.023256,0.040988,11,1480,0.007432,0.004155,0.01326,3,584,0.005137,0.001749,0.014993,8,896,0.008929,0.004531,0.017519
ethnic19_char,African,42,1123,0.0374,0.027787,0.050167,11,1417,0.007763,0.00434,0.013847,1,396,0.002525,0.000446,0.014164,10,1021,0.009794,0.005329,0.017935
ethnic19_char,Caribbean,12,553,0.0217,0.012456,0.037543,1,588,0.001701,3.00E-04,0.00957,0,228,0,0,0.011727,1,360,0.002778,0.000491,0.015564
ethnic19_char,Other Black/African/Caribbean background,6,156,0.038462,0.017744,0.081363,2,146,0.013699,0.003765,0.048567,0,51,0,0,0.050377,2,95,0.021053,0.005793,0.073541
ethnic19_char,White and Black Caribbean,7,489,0.014315,0.006951,0.02925,1,540,0.001852,0.000327,0.010414,0,252,0,0,0.010622,1,288,0.003472,0.000613,0.019403
ethnic19_char,White and Black African,5,292,0.017123,0.007336,0.039451,0,323,0,0,0.008307,0,137,0,0,0.019366,0,186,0,0,0.014337
ethnic19_char,White and Asian,18,1000,0.018,0.011416,0.028273,5,1072,0.004664,0.001994,0.010872,2,521,0.003839,0.001053,0.013887,3,551,0.005445,0.001853,0.015884
ethnic19_char,Other Mixed/Multiple ethnic background,16,970,0.016495,0.010178,0.026626,2,991,0.002018,0.000554,0.007328,0,437,0,0,0.006153,2,554,0.00361,0.000991,0.013066
ethnic19_char,Arab,6,296,0.02027,0.009322,0.04351,4,314,0.012739,0.004965,0.032291,2,129,0.015504,0.004262,0.054767,2,185,0.010811,0.00297,0.038554
ethnic19_char,Other ethnic group,23,930,0.024731,0.016535,0.036837,2,916,0.002183,0.000599,0.007926,0,388,0,0,0.006925,2,528,0.003788,0.001039,0.013705
ethnic19_char,Prefer not to say,28,1430,0.01958,0.013581,0.028154,7,1125,0.006222,0.003017,0.012788,2,476,0.004202,0.001153,0.015189,5,649,0.007704,0.003295,0.017907
ethnic19_char,NA,18,1755,0.010256,0.006497,0.016155,6,1649,0.003639,0.001669,0.007916,5,868,0.00576,0.002463,0.013413,1,781,0.00128,0.000226,0.007217
