areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2021-05-06,18_to_64,417.0,141114
E92000001,England,nation,2021-05-06,85+,6096.6,83217
E92000001,England,nation,2021-05-06,6_to_17,35.4,2799
E92000001,England,nation,2021-05-06,0_to_5,70.0,2837
E92000001,England,nation,2021-05-06,65_to_84,1857.2,163696
E92000001,England,nation,2021-05-05,18_to_64,416.8,141059
E92000001,England,nation,2021-05-05,85+,6095.9,83208
E92000001,England,nation,2021-05-05,6_to_17,35.4,2797
E92000001,England,nation,2021-05-05,0_to_5,70.0,2835
E92000001,England,nation,2021-05-05,65_to_84,1856.9,163676
E92000001,England,nation,2021-05-04,18_to_64,416.6,141003
E92000001,England,nation,2021-05-04,85+,6094.9,83194
E92000001,England,nation,2021-05-04,6_to_17,35.3,2794
E92000001,England,nation,2021-05-04,0_to_5,69.9,2832
E92000001,England,nation,2021-05-04,65_to_84,1856.7,163657
E92000001,England,nation,2021-05-03,18_to_64,416.5,140964
E92000001,England,nation,2021-05-03,85+,6094.2,83185
E92000001,England,nation,2021-05-03,6_to_17,35.3,2790
E92000001,England,nation,2021-05-03,0_to_5,69.8,2828
E92000001,England,nation,2021-05-03,65_to_84,1856.5,163638
E92000001,England,nation,2021-05-02,18_to_64,416.4,140913
E92000001,England,nation,2021-05-02,85+,6093.7,83177
E92000001,England,nation,2021-05-02,6_to_17,35.3,2787
E92000001,England,nation,2021-05-02,0_to_5,69.7,2823
E92000001,England,nation,2021-05-02,65_to_84,1856.2,163608
E92000001,England,nation,2021-05-01,18_to_64,416.2,140865
E92000001,England,nation,2021-05-01,85+,6092.5,83161
E92000001,England,nation,2021-05-01,6_to_17,35.2,2784
E92000001,England,nation,2021-05-01,0_to_5,69.7,2821
E92000001,England,nation,2021-05-01,65_to_84,1855.9,163585
E92000001,England,nation,2021-04-30,18_to_64,416.1,140828
E92000001,England,nation,2021-04-30,85+,6091.7,83151
E92000001,England,nation,2021-04-30,6_to_17,35.2,2782
E92000001,England,nation,2021-04-30,0_to_5,69.6,2820
E92000001,England,nation,2021-04-30,65_to_84,1855.7,163567
E92000001,England,nation,2021-04-29,18_to_64,416.0,140789
E92000001,England,nation,2021-04-29,85+,6090.8,83138
E92000001,England,nation,2021-04-29,6_to_17,35.2,2780
E92000001,England,nation,2021-04-29,0_to_5,69.5,2816
E92000001,England,nation,2021-04-29,65_to_84,1855.4,163543
E92000001,England,nation,2021-04-28,18_to_64,415.9,140741
E92000001,England,nation,2021-04-28,85+,6090.1,83129
E92000001,England,nation,2021-04-28,6_to_17,35.2,2779
E92000001,England,nation,2021-04-28,0_to_5,69.5,2814
E92000001,England,nation,2021-04-28,65_to_84,1855.2,163523
E92000001,England,nation,2021-04-27,18_to_64,415.7,140696
E92000001,England,nation,2021-04-27,85+,6089.4,83119
E92000001,England,nation,2021-04-27,6_to_17,35.1,2777
E92000001,England,nation,2021-04-27,0_to_5,69.4,2812
E92000001,England,nation,2021-04-27,65_to_84,1854.9,163493
E92000001,England,nation,2021-04-26,18_to_64,415.6,140638
E92000001,England,nation,2021-04-26,85+,6087.9,83099
E92000001,England,nation,2021-04-26,6_to_17,35.0,2769
E92000001,England,nation,2021-04-26,0_to_5,69.4,2810
E92000001,England,nation,2021-04-26,65_to_84,1854.4,163453
E92000001,England,nation,2021-04-25,18_to_64,415.4,140592
E92000001,England,nation,2021-04-25,85+,6086.9,83085
E92000001,England,nation,2021-04-25,6_to_17,35.0,2766
E92000001,England,nation,2021-04-25,0_to_5,69.4,2809
E92000001,England,nation,2021-04-25,65_to_84,1853.9,163409
E92000001,England,nation,2021-04-24,18_to_64,415.3,140545
E92000001,England,nation,2021-04-24,85+,6085.3,83063
E92000001,England,nation,2021-04-24,6_to_17,35.0,2765
E92000001,England,nation,2021-04-24,0_to_5,69.3,2807
E92000001,England,nation,2021-04-24,65_to_84,1853.5,163374
E92000001,England,nation,2021-04-23,18_to_64,415.1,140500
E92000001,England,nation,2021-04-23,85+,6084.1,83047
E92000001,England,nation,2021-04-23,6_to_17,34.9,2762
E92000001,England,nation,2021-04-23,0_to_5,69.3,2805
E92000001,England,nation,2021-04-23,65_to_84,1853.1,163341
E92000001,England,nation,2021-04-22,18_to_64,415.0,140441
E92000001,England,nation,2021-04-22,85+,6083.0,83032
E92000001,England,nation,2021-04-22,6_to_17,34.9,2759
E92000001,England,nation,2021-04-22,0_to_5,69.2,2802
E92000001,England,nation,2021-04-22,65_to_84,1852.6,163297
E92000001,England,nation,2021-04-21,18_to_64,414.9,140400
E92000001,England,nation,2021-04-21,85+,6081.9,83016
E92000001,England,nation,2021-04-21,6_to_17,34.9,2756
E92000001,England,nation,2021-04-21,0_to_5,69.2,2801
E92000001,England,nation,2021-04-21,65_to_84,1852.3,163266
E92000001,England,nation,2021-04-20,18_to_64,414.7,140341
E92000001,England,nation,2021-04-20,85+,6080.4,82996
E92000001,England,nation,2021-04-20,6_to_17,34.9,2755
E92000001,England,nation,2021-04-20,0_to_5,69.1,2799
E92000001,England,nation,2021-04-20,65_to_84,1851.8,163222
E92000001,England,nation,2021-04-19,18_to_64,414.5,140295
E92000001,England,nation,2021-04-19,85+,6079.4,82982
E92000001,England,nation,2021-04-19,6_to_17,34.8,2754
E92000001,England,nation,2021-04-19,0_to_5,69.1,2798
E92000001,England,nation,2021-04-19,65_to_84,1851.4,163186
E92000001,England,nation,2021-04-18,18_to_64,414.4,140234
E92000001,England,nation,2021-04-18,85+,6078.2,82966
E92000001,England,nation,2021-04-18,6_to_17,34.8,2751
E92000001,England,nation,2021-04-18,0_to_5,69.1,2797
E92000001,England,nation,2021-04-18,65_to_84,1850.7,163129
E92000001,England,nation,2021-04-17,18_to_64,414.2,140180
E92000001,England,nation,2021-04-17,85+,6076.8,82947
E92000001,England,nation,2021-04-17,6_to_17,34.8,2750
E92000001,England,nation,2021-04-17,0_to_5,69.0,2796
E92000001,England,nation,2021-04-17,65_to_84,1850.3,163092
E92000001,England,nation,2021-04-16,18_to_64,414.0,140116
E92000001,England,nation,2021-04-16,85+,6075.0,82923
E92000001,England,nation,2021-04-16,6_to_17,34.8,2749
E92000001,England,nation,2021-04-16,0_to_5,69.0,2793
E92000001,England,nation,2021-04-16,65_to_84,1849.8,163049
E92000001,England,nation,2021-04-15,18_to_64,413.8,140054
E92000001,England,nation,2021-04-15,85+,6073.7,82905
E92000001,England,nation,2021-04-15,6_to_17,34.8,2748
